case_id,profile_code,record_id,attribute_name,attribute_type,string_value,integer_value,decimal_value,boolean_value,date_value,timestamp_value,json_value,is_masked,ordinal,source_dataset,source_column,snapshot_version
DOWNLINE,ADULT,COMMISSION-0001,commission_id,STRING,COMMISSION-0001,,,,,,,false,1,genie/adult/commissions.csv,commission_id,2026.07.18.1
DOWNLINE,ADULT,COMMISSION-0001,beneficiary_person_record_id,STRING,PR-REX-01,,,,,,,false,2,genie/adult/commissions.csv,beneficiary_person_record_id,2026.07.18.1
DOWNLINE,ADULT,COMMISSION-0001,commission_type,STRING,DIRECT_RECRUITMENT,,,,,,,false,3,genie/adult/commissions.csv,commission_type,2026.07.18.1
DOWNLINE,ADULT,COMMISSION-0001,calculation_date,DATE,,,,,2025-01-15,,,false,4,genie/adult/commissions.csv,calculation_date,2026.07.18.1
DOWNLINE,ADULT,COMMISSION-0001,related_object_id,STRING,SP-001,,,,,,,false,5,genie/adult/commissions.csv,related_object_id,2026.07.18.1
DOWNLINE,ADULT,COMMISSION-0001,commission_basis,STRING,"new participant, downline rank or team purchase volume",,,,,,,false,6,genie/adult/commissions.csv,commission_basis,2026.07.18.1
DOWNLINE,ADULT,COMMISSION-0001,amount,DECIMAL,,,55.00,,,,,false,7,genie/adult/commissions.csv,amount,2026.07.18.1
DOWNLINE,ADULT,COMMISSION-0001,currency,STRING,BSC,,,,,,,false,8,genie/adult/commissions.csv,currency,2026.07.18.1
DOWNLINE,ADULT,COMMISSION-0001,commission_batch_id,STRING,CB-0001,,,,,,,false,9,genie/adult/commissions.csv,commission_batch_id,2026.07.18.1
DOWNLINE,ADULT,COMMISSION-0001,source_system_id,STRING,COMMISSION_ENGINE,,,,,,,false,10,genie/adult/commissions.csv,source_system_id,2026.07.18.1
DOWNLINE,ADULT,COMMISSION-0002,commission_id,STRING,COMMISSION-0002,,,,,,,false,1,genie/adult/commissions.csv,commission_id,2026.07.18.1
DOWNLINE,ADULT,COMMISSION-0002,beneficiary_person_record_id,STRING,PR-CELESTE-01,,,,,,,false,2,genie/adult/commissions.csv,beneficiary_person_record_id,2026.07.18.1
DOWNLINE,ADULT,COMMISSION-0002,commission_type,STRING,GENERATION_OVERRIDE,,,,,,,false,3,genie/adult/commissions.csv,commission_type,2026.07.18.1
DOWNLINE,ADULT,COMMISSION-0002,calculation_date,DATE,,,,,2025-01-16,,,false,4,genie/adult/commissions.csv,calculation_date,2026.07.18.1
DOWNLINE,ADULT,COMMISSION-0002,related_object_id,STRING,SP-002,,,,,,,false,5,genie/adult/commissions.csv,related_object_id,2026.07.18.1
DOWNLINE,ADULT,COMMISSION-0002,commission_basis,STRING,"new participant, downline rank or team purchase volume",,,,,,,false,6,genie/adult/commissions.csv,commission_basis,2026.07.18.1
DOWNLINE,ADULT,COMMISSION-0002,amount,DECIMAL,,,90.00,,,,,false,7,genie/adult/commissions.csv,amount,2026.07.18.1
DOWNLINE,ADULT,COMMISSION-0002,currency,STRING,BSC,,,,,,,false,8,genie/adult/commissions.csv,currency,2026.07.18.1
DOWNLINE,ADULT,COMMISSION-0002,commission_batch_id,STRING,CB-0001,,,,,,,false,9,genie/adult/commissions.csv,commission_batch_id,2026.07.18.1
