case_id,profile_code,fixture_id,fixture_type,tool_family,selected_record_ids_json,input_payload_json,expected_result_count,expected_payload_json,description,snapshot_version
ACADEMY_T02,ACADEMY,CONNECTION_CLASSIFICATION_FIXTURES:T2-Z-001,CONNECTION_CLASSIFICATION_FIXTURES,ZINGG,"[""T2-P-CIPHER-A"",""T2-P-CIPHER-B""]","{""connection_id"":""T2-Z-001"",""engine"":""ZINGG"",""expected_action"":""ACCEPT_MERGE"",""interpretation"":""Same identity across Corporate Registry and vendor portal."",""protected_entity_ids"":"""",""source_id"":""T2-P-CIPHER-A"",""target_id"":""T2-P-CIPHER-B""}",1,"{""expected_action"":""ACCEPT_MERGE"",""interpretation"":""Same identity across Corporate Registry and vendor portal.""}",Same identity across Corporate Registry and vendor portal.,2026.07.19.1
ACADEMY_T02,ACADEMY,CONNECTION_CLASSIFICATION_FIXTURES:T2-Z-002,CONNECTION_CLASSIFICATION_FIXTURES,ZINGG,"[""T2-P-CIPHER-A"",""T2-P-CYPHER""]","{""connection_id"":""T2-Z-002"",""engine"":""ZINGG"",""expected_action"":""REJECT_MERGE"",""interpretation"":""Similar name, distinct person."",""protected_entity_ids"":""T2-P-CYPHER"",""source_id"":""T2-P-CIPHER-A"",""target_id"":""T2-P-CYPHER""}",1,"{""expected_action"":""REJECT_MERGE"",""interpretation"":""Similar name, distinct person."",""protected_entity_ids"":""T2-P-CYPHER""}","Similar name, distinct person.",2026.07.19.1
ACADEMY_T02,ACADEMY,CONNECTION_CLASSIFICATION_FIXTURES:T2-GF-001,CONNECTION_CLASSIFICATION_FIXTURES,GRAPHFRAMES,"[""T2-LOGIN-A"",""T2-LOGIN-B""]","{""connection_id"":""T2-GF-001"",""engine"":""GRAPHFRAMES"",""expected_action"":""MARK_RELEVANT"",""interpretation"":""Relevant exact device link in coordinated administration."",""protected_entity_ids"":"""",""source_id"":""T2-LOGIN-A"",""target_id"":""T2-LOGIN-B""}",1,"{""expected_action"":""MARK_RELEVANT"",""interpretation"":""Relevant exact device link in coordinated administration.""}",Relevant exact device link in coordinated administration.,2026.07.19.1
ACADEMY_T02,ACADEMY,CONNECTION_CLASSIFICATION_FIXTURES:T2-GF-004,CONNECTION_CLASSIFICATION_FIXTURES,GRAPHFRAMES,"[""T2-O-GAMMA"",""T2-O-BAKERY""]","{""connection_id"":""T2-GF-004"",""engine"":""GRAPHFRAMES"",""expected_action"":""MARK_SHARED_INFRASTRUCTURE"",""interpretation"":""Benign registered-office hub."",""protected_entity_ids"":""T2-O-BAKERY"",""source_id"":""T2-O-GAMMA"",""target_id"":""T2-O-BAKERY""}",1,"{""expected_action"":""MARK_SHARED_INFRASTRUCTURE"",""interpretation"":""Benign registered-office hub."",""protected_entity_ids"":""T2-O-BAKERY""}",Benign registered-office hub.,2026.07.19.1
ACADEMY_T02,ACADEMY,CONNECTION_CLASSIFICATION_FIXTURES:T2-GF-005,CONNECTION_CLASSIFICATION_FIXTURES,GRAPHFRAMES,"[""T2-FILE-GAMMA"",""T2-FILE-BAKERY""]","{""connection_id"":""T2-GF-005"",""engine"":""GRAPHFRAMES"",""expected_action"":""MARK_SHARED_INFRASTRUCTURE"",""interpretation"":""Benign public-kiosk reuse."",""protected_entity_ids"":""T2-O-BAKERY;T2-P-CYPHER"",""source_id"":""T2-FILE-GAMMA"",""target_id"":""T2-FILE-BAKERY""}",1,"{""expected_action"":""MARK_SHARED_INFRASTRUCTURE"",""interpretation"":""Benign public-kiosk reuse."",""protected_entity_ids"":""T2-O-BAKERY;T2-P-CYPHER""}",Benign public-kiosk reuse.,2026.07.19.1
ACADEMY_T02,ACADEMY,NO_RESULT_FIXTURES:T2-NR-001,NO_RESULT_FIXTURES,GRAPHFRAMES,[],"{""cost"":""3"",""fixture_id"":""T2-NR-001"",""player_message"":""No additional exact relationships were found. The previously revealed results remain unchanged."",""query_or_rule"":""expanded sweep after all guided exact rules have completed"",""result_count"":""0"",""result_status"":""NO_NEW_RESULTS"",""tool"":""GRAPHFRAMES""}",0,"{""player_message"":""No additional exact relationships were found. The previously revealed results remain unchanged."",""result_count"":""0"",""result_status"":""NO_NEW_RESULTS""}",No additional exact relationships were found. The previously revealed results remain unchanged.,2026.07.19.1
ACADEMY_T02,ACADEMY,TOOL_AVAILABILITY:GENIE,TOOL_AVAILABILITY,GENIE,[],"{""tutorial_state"":""LOCKED_NEXT_TUTORIAL""}",,"{""available"":""false"",""reason"":""Locked in T2. Advanced Genie investigations are introduced in T3 — Genie Investigation.""}",Locked in T2. Advanced Genie investigations are introduced in T3 — Genie Investigation.,2026.07.19.1
ACADEMY_T02,ACADEMY,TOOL_AVAILABILITY:GRAPHFRAMES,TOOL_AVAILABILITY,GRAPHFRAMES,[],"{""tutorial_state"":""GUIDED_REQUIRED""}",,"{""available"":""true"",""reason"":""Required to discover and classify exact structural relationships.""}",Required to discover and classify exact structural relationships.,2026.07.19.1
ACADEMY_T02,ACADEMY,TOOL_AVAILABILITY:ZINGG,TOOL_AVAILABILITY,ZINGG,[],"{""tutorial_state"":""GUIDED_REQUIRED""}",,"{""available"":""true"",""reason"":""Required to review a correct identity merge and a false candidate.""}",Required to review a correct identity merge and a false candidate.,2026.07.19.1
ACADEMY_T02,ACADEMY,TOOL_AVAILABILITY:MANUAL,TOOL_AVAILABILITY,MANUAL,[],"{""tutorial_state"":""AVAILABLE""}",,"{""available"":""true"",""reason"":""Manual notes and hypotheses are free.""}",Manual notes and hypotheses are free.,2026.07.19.1
