case_id,profile_code,relationship_id,relationship_family,relationship_type,source_record_id,target_record_id,directed,event_time,weight,supporting_record_ids_json,safe_summary,provenance,safe_attributes_json,snapshot_version
PHANTOM_VET,ADULT,REF-3B706ECC22D92EBF503C,SOURCE_REFERENCE,REFERENCES_PET_RECORD_ID,APT-0001,PTR-0001-03,true,,,"[""APT-0001""]",APT-0001 references PTR-0001-03 through pet_record_id.,genie/adult/appointments.csv,"{""inferred"":true,""source_column"":""pet_record_id""}",2026.07.18.1
PHANTOM_VET,ADULT,REF-B77CFCECDF30B8E0DE9E,SOURCE_REFERENCE,REFERENCES_OWNER_PERSON_RECORD_ID,APT-0001,PR-OLIVE-01,true,,,"[""APT-0001""]",APT-0001 references PR-OLIVE-01 through owner_person_record_id.,genie/adult/appointments.csv,"{""inferred"":true,""source_column"":""owner_person_record_id""}",2026.07.18.1
PHANTOM_VET,ADULT,REF-D0CE6ABA8082E420BF0E,SOURCE_REFERENCE,REFERENCES_CLINIC_RECORD_ID,APT-0001,OR-MOBILE-01,true,,,"[""APT-0001""]",APT-0001 references OR-MOBILE-01 through clinic_record_id.,genie/adult/appointments.csv,"{""inferred"":true,""source_column"":""clinic_record_id""}",2026.07.18.1
PHANTOM_VET,ADULT,REF-E7C7ACDFF14326B931DE,SOURCE_REFERENCE,REFERENCES_PROVIDER_RECORD_ID,APT-0001,PR-ELENA-02,true,,,"[""APT-0001""]",APT-0001 references PR-ELENA-02 through provider_record_id.,genie/adult/appointments.csv,"{""inferred"":true,""source_column"":""provider_record_id""}",2026.07.18.1
PHANTOM_VET,ADULT,REF-4BB06524397BDB2CF1F7,SOURCE_REFERENCE,REFERENCES_PET_RECORD_ID,APT-0002,PTR-0002-03,true,,,"[""APT-0002""]",APT-0002 references PTR-0002-03 through pet_record_id.,genie/adult/appointments.csv,"{""inferred"":true,""source_column"":""pet_record_id""}",2026.07.18.1
PHANTOM_VET,ADULT,REF-EDE57D9FE3998D824008,SOURCE_REFERENCE,REFERENCES_OWNER_PERSON_RECORD_ID,APT-0002,PR-BENNY-01,true,,,"[""APT-0002""]",APT-0002 references PR-BENNY-01 through owner_person_record_id.,genie/adult/appointments.csv,"{""inferred"":true,""source_column"":""owner_person_record_id""}",2026.07.18.1
PHANTOM_VET,ADULT,REF-FF76D3CD2423229F7745,SOURCE_REFERENCE,REFERENCES_CLINIC_RECORD_ID,APT-0002,OR-PHANTOM-01,true,,,"[""APT-0002""]",APT-0002 references OR-PHANTOM-01 through clinic_record_id.,genie/adult/appointments.csv,"{""inferred"":true,""source_column"":""clinic_record_id""}",2026.07.18.1
PHANTOM_VET,ADULT,REF-112498654030D0F4C62A,SOURCE_REFERENCE,REFERENCES_PROVIDER_RECORD_ID,APT-0002,PR-DEXTER-02,true,,,"[""APT-0002""]",APT-0002 references PR-DEXTER-02 through provider_record_id.,genie/adult/appointments.csv,"{""inferred"":true,""source_column"":""provider_record_id""}",2026.07.18.1
PHANTOM_VET,ADULT,REF-0BA4A52D5B3EE53A04B5,SOURCE_REFERENCE,REFERENCES_PET_RECORD_ID,APT-0003,PTR-0003-03,true,,,"[""APT-0003""]",APT-0003 references PTR-0003-03 through pet_record_id.,genie/adult/appointments.csv,"{""inferred"":true,""source_column"":""pet_record_id""}",2026.07.18.1
PHANTOM_VET,ADULT,REF-F54F3CFF0C108771A71B,SOURCE_REFERENCE,REFERENCES_OWNER_PERSON_RECORD_ID,APT-0003,PR-CLARA-01,true,,,"[""APT-0003""]",APT-0003 references PR-CLARA-01 through owner_person_record_id.,genie/adult/appointments.csv,"{""inferred"":true,""source_column"":""owner_person_record_id""}",2026.07.18.1
PHANTOM_VET,ADULT,REF-02E083E853F12A4703F0,SOURCE_REFERENCE,REFERENCES_CLINIC_RECORD_ID,APT-0003,OR-PHANTOM-01,true,,,"[""APT-0003""]",APT-0003 references OR-PHANTOM-01 through clinic_record_id.,genie/adult/appointments.csv,"{""inferred"":true,""source_column"":""clinic_record_id""}",2026.07.18.1
PHANTOM_VET,ADULT,REF-27159F8B85A89E613407,SOURCE_REFERENCE,REFERENCES_PROVIDER_RECORD_ID,APT-0003,PR-DEXTER-02,true,,,"[""APT-0003""]",APT-0003 references PR-DEXTER-02 through provider_record_id.,genie/adult/appointments.csv,"{""inferred"":true,""source_column"":""provider_record_id""}",2026.07.18.1
PHANTOM_VET,ADULT,REF-13F2F145046999723069,SOURCE_REFERENCE,REFERENCES_PET_RECORD_ID,APT-0004,PTR-0004-03,true,,,"[""APT-0004""]",APT-0004 references PTR-0004-03 through pet_record_id.,genie/adult/appointments.csv,"{""inferred"":true,""source_column"":""pet_record_id""}",2026.07.18.1
PHANTOM_VET,ADULT,REF-845D4745ECC7B40B0C62,SOURCE_REFERENCE,REFERENCES_OWNER_PERSON_RECORD_ID,APT-0004,PR-GIDEON-01,true,,,"[""APT-0004""]",APT-0004 references PR-GIDEON-01 through owner_person_record_id.,genie/adult/appointments.csv,"{""inferred"":true,""source_column"":""owner_person_record_id""}",2026.07.18.1
PHANTOM_VET,ADULT,REF-F3F7DEE45BE7946E69F5,SOURCE_REFERENCE,REFERENCES_CLINIC_RECORD_ID,APT-0004,OR-PHANTOM-01,true,,,"[""APT-0004""]",APT-0004 references OR-PHANTOM-01 through clinic_record_id.,genie/adult/appointments.csv,"{""inferred"":true,""source_column"":""clinic_record_id""}",2026.07.18.1
PHANTOM_VET,ADULT,REF-27D75FD76640CA41B9FB,SOURCE_REFERENCE,REFERENCES_PROVIDER_RECORD_ID,APT-0004,PR-ELENA-02,true,,,"[""APT-0004""]",APT-0004 references PR-ELENA-02 through provider_record_id.,genie/adult/appointments.csv,"{""inferred"":true,""source_column"":""provider_record_id""}",2026.07.18.1
PHANTOM_VET,ADULT,REF-BCDE9BB19014DDC88D8D,SOURCE_REFERENCE,REFERENCES_PET_RECORD_ID,APT-0005,PTR-0005-03,true,,,"[""APT-0005""]",APT-0005 references PTR-0005-03 through pet_record_id.,genie/adult/appointments.csv,"{""inferred"":true,""source_column"":""pet_record_id""}",2026.07.18.1
PHANTOM_VET,ADULT,REF-3F671EFD0E675F51E55A,SOURCE_REFERENCE,REFERENCES_OWNER_PERSON_RECORD_ID,APT-0005,PR-OWNER-001-01,true,,,"[""APT-0005""]",APT-0005 references PR-OWNER-001-01 through owner_person_record_id.,genie/adult/appointments.csv,"{""inferred"":true,""source_column"":""owner_person_record_id""}",2026.07.18.1
