case_id,candidate_id,left_record_id,right_record_id,entity_type,confidence_band,estimated_score,agreement_fields_json,disagreement_fields_json,missing_fields_json,expected_truth,generation_mode,framework_semantics,actual_engine_run,authoring_method_version,review_status,provenance_note,content_role,metadata_json,snapshot_version
MADDOG,Z-001,PR-MAXWELL-01,PR-MAXWELL-02,PERSON,HIGH,0.965,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Likely same identity across compatible records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/maddog_zingg_candidate_relationships.csv""}",2026.07.19.1
MADDOG,Z-002,PR-MAXWELL-01,PR-MAXWELL-03,PERSON,HIGH,0.959,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Likely same identity across compatible records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/maddog_zingg_candidate_relationships.csv""}",2026.07.19.1
MADDOG,Z-003,PR-MAXWELL-01,PR-MAXWELL-04,PERSON,HIGH,0.953,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Likely same identity across compatible records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/maddog_zingg_candidate_relationships.csv""}",2026.07.19.1
MADDOG,Z-004,PR-MAXWELL-02,PR-MAXWELL-03,PERSON,HIGH,0.947,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Likely same identity across compatible records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/maddog_zingg_candidate_relationships.csv""}",2026.07.19.1
MADDOG,Z-005,PR-MAXWELL-02,PR-MAXWELL-04,PERSON,HIGH,0.941,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Likely same identity across compatible records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/maddog_zingg_candidate_relationships.csv""}",2026.07.19.1
MADDOG,Z-006,PR-MAXWELL-03,PR-MAXWELL-04,PERSON,HIGH,0.935,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Likely same identity across compatible records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/maddog_zingg_candidate_relationships.csv""}",2026.07.19.1
MADDOG,Z-007,PR-VERA-01,PR-VERA-02,PERSON,HIGH,0.952,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Likely same identity across compatible records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/maddog_zingg_candidate_relationships.csv""}",2026.07.19.1
MADDOG,Z-008,PR-VERA-01,PR-VERA-03,PERSON,HIGH,0.946,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Likely same identity across compatible records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/maddog_zingg_candidate_relationships.csv""}",2026.07.19.1
MADDOG,Z-009,PR-VERA-02,PR-VERA-03,PERSON,HIGH,0.940,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Likely same identity across compatible records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/maddog_zingg_candidate_relationships.csv""}",2026.07.19.1
MADDOG,Z-010,PR-SILAS-01,PR-SILAS-02,PERSON,HIGH,0.944,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Likely same identity across compatible records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/maddog_zingg_candidate_relationships.csv""}",2026.07.19.1
MADDOG,Z-011,PR-SILAS-01,PR-SILAS-03,PERSON,HIGH,0.938,"[""normalized_name"",""email_or_phone""]","[""source_format""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Likely same identity across compatible records.,CORE_EVIDENCE,"{""source_dataset"":""analytics/maddog_zingg_candidate_relationships.csv""}",2026.07.19.1
