case_id,entity_id,entity_type,canonical_name,operational_role,expected_classification,culpability,harm_status,fraud_network_membership,protected_notes,snapshot_version
BONE_LEDGER,P-CHESTER,PERSON,Chester Chow,chief financial officer and principal,chief financial officer and principal,intentional,non-victim,true,Legacy fraud_network_membership=CORE,2026.07.18.1
BONE_LEDGER,P-GRETA,PERSON,Greta Greyhound,group controller and accounting operator,group controller and accounting operator,knowing,non-victim,true,Legacy fraud_network_membership=CORE,2026.07.18.1
BONE_LEDGER,P-MARVIN,PERSON,Marvin Mastiff,procurement director and asset diversion operator,procurement director and asset diversion operator,knowing,non-victim,true,Legacy fraud_network_membership=CORE,2026.07.18.1
BONE_LEDGER,P-AMELIA,PERSON,Amelia Airedale,independent auditor and whistleblower,independent auditor and whistleblower,none,non-victim,false,Legacy fraud_network_membership=PROTECTED_CONTEXT,2026.07.18.1
BONE_LEDGER,P-LUCY,PERSON,Lucy Labrador,junior accountant and whistleblower,junior accountant and whistleblower,none,non-victim,false,Legacy fraud_network_membership=PROTECTED_CONTEXT,2026.07.18.1
BONE_LEDGER,P-NORA,PERSON,Nora Newf,legitimate subsidiary director,legitimate subsidiary director,none,non-victim,false,Legacy fraud_network_membership=PROTECTED_CONTEXT,2026.07.18.1
BONE_LEDGER,P-HUGO,PERSON,Hugo Husky,warehouse and asset custodian,warehouse and asset custodian,none,non-victim,false,Legacy fraud_network_membership=PROTECTED_CONTEXT,2026.07.18.1
BONE_LEDGER,P-BEATRICE,PERSON,Beatrice Boxer,board chair,board chair,none,non-victim,false,Legacy fraud_network_membership=PROTECTED_CONTEXT,2026.07.18.1
BONE_LEDGER,P-PRIYA,PERSON,Priya Poodle,bank relationship manager,bank relationship manager,none,non-victim,false,Legacy fraud_network_membership=PROTECTED_CONTEXT,2026.07.18.1
BONE_LEDGER,P-OSCAR,PERSON,Oscar Otterhound,minority investor representative,minority investor representative,none,victim,false,Legacy fraud_network_membership=NONE,2026.07.18.1
BONE_LEDGER,P-BERNARD,PERSON,Bernard Beagle,trade creditor representative,trade creditor representative,none,victim,false,Legacy fraud_network_membership=NONE,2026.07.18.1
BONE_LEDGER,P-COLIN,PERSON,Colin Collie,legitimate equipment vendor contact,legitimate equipment vendor contact,none,non-victim,false,Legacy fraud_network_membership=PROTECTED_CONTEXT,2026.07.18.1
