case_id,profile_code,relationship_id,relationship_family,relationship_type,source_record_id,target_record_id,directed,event_time,weight,supporting_record_ids_json,player_safe_summary,provenance,safe_attributes_json,snapshot_version
CRYPTO_KENNEL_LONG_CON,SENIOR,REL-000001,DIRECT_SOURCE,DIRECTOR_OF,PR-LYRA-01,OR-CRYPTOKENNEL-01,true,,,"[""PR-LYRA-01""]",Lyra is a registered director of Crypto Kennel.,Recorded directly in a source dataset.,{},2026.07.18.1
CRYPTO_KENNEL_LONG_CON,SENIOR,REL-000002,DIRECT_SOURCE,CONTROLS,PR-LYRA-01,OR-BONEVAULT-01,true,,,"[""PR-LYRA-01""]",KYC associates Lyra with Bone Vault.,Recorded directly in a source dataset.,{},2026.07.18.1
CRYPTO_KENNEL_LONG_CON,SENIOR,REL-000003,DIRECT_SOURCE,CONTROLS,PR-QUINN-01,OR-LEASHBRIDGE-01,true,,,"[""PR-QUINN-01""]",KYC associates Quinn with LeashBridge.,Recorded directly in a source dataset.,{},2026.07.18.1
CRYPTO_KENNEL_LONG_CON,SENIOR,REL-000004,DIRECT_SOURCE,CONTROLS,PR-MARA-01,OR-HARBOROTC-01,true,,,"[""PR-MARA-01""]",KYC associates Mara with Harbor Paw OTC.,Recorded directly in a source dataset.,{},2026.07.18.1
CRYPTO_KENNEL_LONG_CON,SENIOR,REL-000005,DIRECT_SOURCE,CONTROLS,PR-DEXTER-01,OR-MOONPAW-01,true,,,"[""PR-DEXTER-01""]",KYC associates Dexter with Moon Paw Growth.,Recorded directly in a source dataset.,{},2026.07.18.1
CRYPTO_KENNEL_LONG_CON,SENIOR,REL-000006,DIRECT_SOURCE,EMPLOYED_BY,PR-AMELIA-01,OR-PAWSUPPORT-01,true,,,"[""PR-AMELIA-01""]",Amelia works for victim support.,Recorded directly in a source dataset.,{},2026.07.18.1
CRYPTO_KENNEL_LONG_CON,SENIOR,REL-000007,DIRECT_SOURCE,EMPLOYED_BY,PR-HUGO-01,OR-AUDITCHAIN-01,true,,,"[""PR-HUGO-01""]",Hugo performs independent audits.,Recorded directly in a source dataset.,{},2026.07.18.1
CRYPTO_KENNEL_LONG_CON,SENIOR,REL-000008,DIRECT_SOURCE,OWNS,OR-CRYPTOKENNEL-01,A-CRYPTO-6100,true,,,"[""A-CRYPTO-6100""]",Recorded holder of account ••••6100.,Recorded directly in a source dataset.,{},2026.07.18.1
CRYPTO_KENNEL_LONG_CON,SENIOR,REL-000009,DIRECT_SOURCE,OWNS,OR-HARBOROTC-01,A-HARBOR-7710,true,,,"[""A-HARBOR-7710""]",Recorded holder of account ••••7710.,Recorded directly in a source dataset.,{},2026.07.18.1
CRYPTO_KENNEL_LONG_CON,SENIOR,REL-000010,DIRECT_SOURCE,OWNS,OR-LEASHBRIDGE-01,A-LEASH-8801,true,,,"[""A-LEASH-8801""]",Recorded holder of account ••••8801.,Recorded directly in a source dataset.,{},2026.07.18.1
CRYPTO_KENNEL_LONG_CON,SENIOR,REL-000011,DIRECT_SOURCE,OWNS,OR-KENNELCUSTODY-01,A-CUSTODY-4401,true,,,"[""A-CUSTODY-4401""]",Recorded holder of account ••••4401.,Recorded directly in a source dataset.,{},2026.07.18.1
