case_id,profile_code,relationship_id,relationship_family,relationship_type,source_record_id,target_record_id,directed,event_time,weight,supporting_record_ids_json,player_safe_summary,provenance,safe_attributes_json,snapshot_version
LOVE_LEASHES_OFFSHORE,SENIOR,REL-000001,DIRECT_SOURCE,DIRECTOR_OF,PR-SERENA-02,OR-MOONLIT-01,true,,,"[""PR-SERENA-02""]",Serena is a registered director of Moonlit Leash Media.,Recorded directly in a source dataset.,{},2026.07.18.1
LOVE_LEASHES_OFFSHORE,SENIOR,REL-000002,DIRECT_SOURCE,DIRECTOR_OF,PR-QUINN-02,OR-TIDAL-01,true,,,"[""PR-QUINN-02""]",Quinn is a registered director of Tidal Bone Remittance.,Recorded directly in a source dataset.,{},2026.07.18.1
LOVE_LEASHES_OFFSHORE,SENIOR,REL-000003,DIRECT_SOURCE,CONTROLS,PR-SERENA-03,OR-CORAL-02,true,,,"[""PR-SERENA-03""]",KYC associates Serena with Coral Collar Holdings.,Recorded directly in a source dataset.,{},2026.07.18.1
LOVE_LEASHES_OFFSHORE,SENIOR,REL-000004,DIRECT_SOURCE,CONTROLS,PR-KENDRA-03,OR-HARBORHEART-02,true,,,"[""PR-KENDRA-03""]",KYC associates Kendra with Harbor Heart Legal.,Recorded directly in a source dataset.,{},2026.07.18.1
LOVE_LEASHES_OFFSHORE,SENIOR,REL-000005,DIRECT_SOURCE,CONTROLS,PR-MILO-03,OR-STARPAW-02,true,,,"[""PR-MILO-03""]",KYC associates Milo with Star Paw Parcel Services.,Recorded directly in a source dataset.,{},2026.07.18.1
LOVE_LEASHES_OFFSHORE,SENIOR,REL-000006,DIRECT_SOURCE,EMPLOYED_BY,PR-AMELIA-01,OR-PAWSUPPORT-01,true,,,"[""PR-AMELIA-01""]",Amelia works for victim support.,Recorded directly in a source dataset.,{},2026.07.18.1
LOVE_LEASHES_OFFSHORE,SENIOR,REL-000007,DIRECT_SOURCE,EMPLOYED_BY,PR-HUGO-01,OR-CIVICPARCEL-01,true,,,"[""PR-HUGO-01""]",Hugo supervises a legitimate parcel depot.,Recorded directly in a source dataset.,{},2026.07.18.1
LOVE_LEASHES_OFFSHORE,SENIOR,REL-000008,DIRECT_SOURCE,OWNS,OR-MOONLIT-02,A-MOONLIT-6100,true,,,"[""A-MOONLIT-6100""]",Recorded holder of account ••••6100.,Recorded directly in a source dataset.,{},2026.07.18.1
LOVE_LEASHES_OFFSHORE,SENIOR,REL-000009,DIRECT_SOURCE,OWNS,OR-CORAL-02,A-CORAL-8801,true,,,"[""A-CORAL-8801""]",Recorded holder of account ••••8801.,Recorded directly in a source dataset.,{},2026.07.18.1
LOVE_LEASHES_OFFSHORE,SENIOR,REL-000010,DIRECT_SOURCE,OWNS,OR-TIDAL-02,A-TIDAL-7710,true,,,"[""A-TIDAL-7710""]",Recorded holder of account ••••7710.,Recorded directly in a source dataset.,{},2026.07.18.1
