case_id,relationship_id,relationship_family,relationship_type,source_record_id,target_record_id,directed,event_time,valid_from,valid_to,weight,supporting_record_ids_json,summary,provenance,attributes_json,content_role,snapshot_version
CEO_BARKED_TWICE,REF-DE28682DA525538164E6,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-SCC-1001,O-SCC,true,,,,,"[""A-SCC-1001""]",A-SCC-1001 references O-SCC through holder_id.,authoring/ceo_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.19.2
CEO_BARKED_TWICE,REF-3054E7833B3FC2A7C10C,SOURCE_REFERENCE,REFERENCES_BANK_ORG_ID,A-SCC-1001,O-LANTERNBANK,true,,,,,"[""A-SCC-1001""]",A-SCC-1001 references O-LANTERNBANK through bank_org_id.,authoring/ceo_accounts.csv,"{""inferred"":true,""source_column"":""bank_org_id""}",CORE_EVIDENCE,2026.07.19.2
CEO_BARKED_TWICE,REF-4337BC79529E6F4D475E,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-COPPER-2207,O-COPPER,true,,,,,"[""A-COPPER-2207""]",A-COPPER-2207 references O-COPPER through holder_id.,authoring/ceo_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.19.2
CEO_BARKED_TWICE,REF-B722FC3D9D776AA62D48,SOURCE_REFERENCE,REFERENCES_BANK_ORG_ID,A-COPPER-2207,O-COPPERBANK,true,,,,,"[""A-COPPER-2207""]",A-COPPER-2207 references O-COPPERBANK through bank_org_id.,authoring/ceo_accounts.csv,"{""inferred"":true,""source_column"":""bank_org_id""}",CORE_EVIDENCE,2026.07.19.2
CEO_BARKED_TWICE,REF-D3AD6B2A556D7F505FE0,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-NIGHTJAR-8842,O-NIGHTJAR,true,,,,,"[""A-NIGHTJAR-8842""]",A-NIGHTJAR-8842 references O-NIGHTJAR through holder_id.,authoring/ceo_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.19.2
CEO_BARKED_TWICE,REF-5B203B19385A5F2406B2,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-GRANT-7726,P-GRANT,true,,,,,"[""A-GRANT-7726""]",A-GRANT-7726 references P-GRANT through holder_id.,authoring/ceo_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.19.2
CEO_BARKED_TWICE,REF-9B3590C291173CBA385F,SOURCE_REFERENCE,REFERENCES_BANK_ORG_ID,A-GRANT-7726,O-LANTERNBANK,true,,,,,"[""A-GRANT-7726""]",A-GRANT-7726 references O-LANTERNBANK through bank_org_id.,authoring/ceo_accounts.csv,"{""inferred"":true,""source_column"":""bank_org_id""}",CORE_EVIDENCE,2026.07.19.2
CEO_BARKED_TWICE,REF-1C21BE0EA005B4E07C40,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-ROWAN-3351,P-ROWAN,true,,,,,"[""A-ROWAN-3351""]",A-ROWAN-3351 references P-ROWAN through holder_id.,authoring/ceo_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.19.2
CEO_BARKED_TWICE,REF-E2861647A05705AACBE7,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-IVY-9918,P-IVY,true,,,,,"[""A-IVY-9918""]",A-IVY-9918 references P-IVY through holder_id.,authoring/ceo_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.19.2
CEO_BARKED_TWICE,REF-50E890E9B70C32BC22BC,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-HARBOR-6104,O-HARBOR,true,,,,,"[""A-HARBOR-6104""]",A-HARBOR-6104 references O-HARBOR through holder_id.,authoring/ceo_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.19.2
