case_id,profile_code,relationship_id,relationship_family,relationship_type,source_record_id,target_record_id,directed,event_time,weight,supporting_record_ids_json,player_safe_summary,provenance,safe_attributes_json,snapshot_version
PANAMA_PAWPERS,SENIOR,REL-000001,DIRECT_SOURCE,EMPLOYED_BY,PR-MARCELLUS-01,OR-CROWNHARBOR-01,true,,,"[""PR-MARCELLUS-01""]",Employment or directorship record.,Recorded directly in a source dataset.,{},2026.07.19.2
PANAMA_PAWPERS,SENIOR,REL-000002,DIRECT_SOURCE,EMPLOYED_BY,PR-IRIS-01,OR-REDLEDGER-01,true,,,"[""PR-IRIS-01""]",Employment or directorship record.,Recorded directly in a source dataset.,{},2026.07.19.2
PANAMA_PAWPERS,SENIOR,REL-000003,DIRECT_SOURCE,EMPLOYED_BY,PR-BEATRICE-01,OR-HARBORLEGAL-01,true,,,"[""PR-BEATRICE-01""]",Employment or directorship record.,Recorded directly in a source dataset.,{},2026.07.19.2
PANAMA_PAWPERS,SENIOR,REL-000004,DIRECT_SOURCE,EMPLOYED_BY,PR-JUNE-01,OR-REGISTRYAGENT-01,true,,,"[""PR-JUNE-01""]",Employment or directorship record.,Recorded directly in a source dataset.,{},2026.07.19.2
PANAMA_PAWPERS,SENIOR,REL-000005,DIRECT_SOURCE,EMPLOYED_BY,PR-HUGO-01,OR-AUDIT-01,true,,,"[""PR-HUGO-01""]",Employment or directorship record.,Recorded directly in a source dataset.,{},2026.07.19.2
PANAMA_PAWPERS,SENIOR,REL-000006,DIRECT_SOURCE,REGISTERED_IN,CE-CROWN,J-NOIR,true,,,"[""CO-DDDC5CB60A4""]",Entity is registered in this jurisdiction.,Recorded directly in a source dataset.,{},2026.07.19.2
PANAMA_PAWPERS,SENIOR,REL-000007,DIRECT_SOURCE,REGISTERED_AT,CE-CROWN,ADDR-001,true,,,"[""CO-DDDC5CB60A4""]",Entity uses this registered address.,Recorded directly in a source dataset.,{},2026.07.19.2
PANAMA_PAWPERS,SENIOR,REL-000008,DIRECT_SOURCE,REGISTERED_IN,CE-CORAL,J-AZURE,true,,,"[""CO-AB59222EF69""]",Entity is registered in this jurisdiction.,Recorded directly in a source dataset.,{},2026.07.19.2
PANAMA_PAWPERS,SENIOR,REL-000009,DIRECT_SOURCE,REGISTERED_AT,CE-CORAL,ADDR-002,true,,,"[""CO-AB59222EF69""]",Entity uses this registered address.,Recorded directly in a source dataset.,{},2026.07.19.2
PANAMA_PAWPERS,SENIOR,REL-000010,DIRECT_SOURCE,REGISTERED_IN,CE-LANTERN,J-CORAL,true,,,"[""CO-607AE541696""]",Entity is registered in this jurisdiction.,Recorded directly in a source dataset.,{},2026.07.19.2
