case_id,route_id,claim_id,route_name,step_order,evidence_reference,tool_family,snapshot_version
CEO_BARKED_TWICE,ROUTE-001,CLAIM-MECHANISM,BEC chronology,1,COM-002/003/005,COMMUNICATION,2026.07.19.2
CEO_BARKED_TWICE,ROUTE-001,CLAIM-MECHANISM,BEC chronology,2,MR-001/002 and external login,MAILBOX,2026.07.19.2
CEO_BARKED_TWICE,ROUTE-001,CLAIM-MECHANISM,BEC chronology,3,INV-COPPER-1048-G/F and TX-FRAUD-001,INVOICE_BANK,2026.07.19.2
CEO_BARKED_TWICE,ROUTE-002,CLAIM-ROWAN,Control and communication,1,Zingg Rowan candidate group,ZINGG,2026.07.19.2
CEO_BARKED_TWICE,ROUTE-002,CLAIM-ROWAN,Control and communication,2,Nightjar corporate control and COM-017,DIRECT_COMMUNICATION,2026.07.19.2
CEO_BARKED_TWICE,ROUTE-003,CLAIM-IVY,Infrastructure operator,1,DREG shared registrar/recovery/TLS rows,GRAPHFRAMES,2026.07.19.2
CEO_BARKED_TWICE,ROUTE-003,CLAIM-IVY,Infrastructure operator,2,COM-018 and attacker device sessions,COMMUNICATION_LOGIN,2026.07.19.2
CEO_BARKED_TWICE,ROUTE-004,CLAIM-GRANT,Mule controller,1,A-GRANT-7726 KYC,DIRECT,2026.07.19.2
CEO_BARKED_TWICE,ROUTE-004,CLAIM-GRANT,Mule controller,2,TX-FRAUD-002 and COM-016,BANK_COMMUNICATION,2026.07.19.2
CEO_BARKED_TWICE,ROUTE-005,CLAIM-SUBSTITUTION,Invoice comparison,1,SAME_INVOICE_NUMBER/PO/AMOUNT,GRAPHFRAMES,2026.07.19.2
CEO_BARKED_TWICE,ROUTE-005,CLAIM-SUBSTITUTION,Invoice comparison,2,2207 versus 8842 beneficiary,DIRECT,2026.07.19.2
CEO_BARKED_TWICE,ROUTE-006,CLAIM-PENNY-COMPROMISE,Mailbox compromise,1,MR-001/MR-002,MAILBOX,2026.07.19.2
CEO_BARKED_TWICE,ROUTE-006,CLAIM-PENNY-COMPROMISE,Mailbox compromise,2,dev-9f2a and 203.0.113.77 logins,LOGIN,2026.07.19.2
CEO_BARKED_TWICE,ROUTE-007,CLAIM-BEA-INNOCENT,Impersonated executive,1,COM-001 normal controls,COMMUNICATION,2026.07.19.2
CEO_BARKED_TWICE,ROUTE-007,CLAIM-BEA-INNOCENT,Impersonated executive,2,COM-013 explicit denial,COMMUNICATION,2026.07.19.2
CEO_BARKED_TWICE,ROUTE-008,CLAIM-PENNY-INNOCENT,Deceived employee,1,COM-019 incident statement,COMMUNICATION,2026.07.19.2
CEO_BARKED_TWICE,ROUTE-008,CLAIM-PENNY-INNOCENT,Deceived employee,2,external device created rule,MAILBOX_LOGIN,2026.07.19.2
