case_id,candidate_id,left_record_id,right_record_id,entity_type,confidence_band,estimated_score,agreement_fields_json,disagreement_fields_json,missing_fields_json,expected_truth,generation_mode,framework_semantics,actual_engine_run,authoring_method_version,review_status,provenance_note,content_role,metadata_json,snapshot_version
PANAMA_PAWPERS,Z-0001,PR-MARCELLUS-01,PR-MARCELLUS-02,PERSON,HIGH,0.960,"[""name_tokens"",""address"",""phone_or_registration""]","[""source_format"",""identifier""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,Likely same person across sources.,CORE_EVIDENCE,"{""source_dataset"":""analytics/zingg_candidate_relationships.csv""}",2026.07.19.2
PANAMA_PAWPERS,Z-0002,PR-MARCELLUS-01,PR-MARCELLUS-03,PERSON,HIGH,0.960,"[""name_tokens"",""address"",""phone_or_registration""]","[""source_format"",""identifier""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,Likely same person across sources.,CORE_EVIDENCE,"{""source_dataset"":""analytics/zingg_candidate_relationships.csv""}",2026.07.19.2
PANAMA_PAWPERS,Z-0003,PR-MARCELLUS-02,PR-MARCELLUS-03,PERSON,HIGH,0.960,"[""name_tokens"",""address"",""phone_or_registration""]","[""source_format"",""identifier""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,Likely same person across sources.,CORE_EVIDENCE,"{""source_dataset"":""analytics/zingg_candidate_relationships.csv""}",2026.07.19.2
PANAMA_PAWPERS,Z-0004,PR-IRIS-01,PR-IRIS-02,PERSON,HIGH,0.960,"[""name_tokens"",""address"",""phone_or_registration""]","[""source_format"",""identifier""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,Likely same person across sources.,CORE_EVIDENCE,"{""source_dataset"":""analytics/zingg_candidate_relationships.csv""}",2026.07.19.2
PANAMA_PAWPERS,Z-0005,PR-IRIS-01,PR-IRIS-03,PERSON,HIGH,0.960,"[""name_tokens"",""address"",""phone_or_registration""]","[""source_format"",""identifier""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,Likely same person across sources.,CORE_EVIDENCE,"{""source_dataset"":""analytics/zingg_candidate_relationships.csv""}",2026.07.19.2
PANAMA_PAWPERS,Z-0006,PR-IRIS-02,PR-IRIS-03,PERSON,HIGH,0.960,"[""name_tokens"",""address"",""phone_or_registration""]","[""source_format"",""identifier""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,Likely same person across sources.,CORE_EVIDENCE,"{""source_dataset"":""analytics/zingg_candidate_relationships.csv""}",2026.07.19.2
PANAMA_PAWPERS,Z-0007,PR-NOLAN-01,PR-NOLAN-02,PERSON,HIGH,0.960,"[""name_tokens"",""address"",""phone_or_registration""]","[""source_format"",""identifier""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,Likely same person across sources.,CORE_EVIDENCE,"{""source_dataset"":""analytics/zingg_candidate_relationships.csv""}",2026.07.19.2
PANAMA_PAWPERS,Z-0008,PR-NOLAN-01,PR-NOLAN-03,PERSON,HIGH,0.960,"[""name_tokens"",""address"",""phone_or_registration""]","[""source_format"",""identifier""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,Likely same person across sources.,CORE_EVIDENCE,"{""source_dataset"":""analytics/zingg_candidate_relationships.csv""}",2026.07.19.2
PANAMA_PAWPERS,Z-0009,PR-NOLAN-02,PR-NOLAN-03,PERSON,HIGH,0.960,"[""name_tokens"",""address"",""phone_or_registration""]","[""source_format"",""identifier""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,Likely same person across sources.,CORE_EVIDENCE,"{""source_dataset"":""analytics/zingg_candidate_relationships.csv""}",2026.07.19.2
PANAMA_PAWPERS,Z-0010,PR-FELIX-01,PR-FELIX-02,PERSON,HIGH,0.960,"[""name_tokens"",""address"",""phone_or_registration""]","[""source_format"",""identifier""]",[],SAME,CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,Likely same person across sources.,CORE_EVIDENCE,"{""source_dataset"":""analytics/zingg_candidate_relationships.csv""}",2026.07.19.2
