case_id,profile_code,match_id,rule_id,relationship_type,left_record_id,right_record_id,exact_field,masked_exact_value,normalization_version,generation_mode,framework_semantics,actual_engine_run,ambiguity_warning,supporting_record_ids_json,snapshot_version
BISCUIT_RELIEF,PUPPY,GF-0001,GF-MERCHANT-01,SAME_PROCESSOR_MERCHANT,PAGE-001,SETTLE-0001,processor_merchant_id,MER-6104,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Shared merchant links collection and settlement; processor is neutral.,"[""PAGE-001""]",2026.07.19.3
BISCUIT_RELIEF,PUPPY,GF-0002,GF-MERCHANT-01,SAME_PROCESSOR_MERCHANT,PAGE-002,SETTLE-0002,processor_merchant_id,MER-6104,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Shared merchant links collection and settlement; processor is neutral.,"[""PAGE-002""]",2026.07.19.3
BISCUIT_RELIEF,PUPPY,GF-0003,GF-MERCHANT-01,SAME_PROCESSOR_MERCHANT,PAGE-003,SETTLE-0003,processor_merchant_id,MER-6104,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Shared merchant links collection and settlement; processor is neutral.,"[""PAGE-003""]",2026.07.19.3
BISCUIT_RELIEF,PUPPY,GF-0004,GF-MERCHANT-01,SAME_PROCESSOR_MERCHANT,PAGE-004,SETTLE-0004,processor_merchant_id,MER-6104,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Shared merchant links collection and settlement; processor is neutral.,"[""PAGE-004""]",2026.07.19.3
BISCUIT_RELIEF,PUPPY,GF-0005,GF-MERCHANT-01,SAME_PROCESSOR_MERCHANT,PAGE-005,SETTLE-0005,processor_merchant_id,MER-6104,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Shared merchant links collection and settlement; processor is neutral.,"[""PAGE-005""]",2026.07.19.3
BISCUIT_RELIEF,PUPPY,GF-0006,GF-MERCHANT-01,SAME_PROCESSOR_MERCHANT,PAGE-006,SETTLE-0006,processor_merchant_id,MER-6104,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Shared merchant links collection and settlement; processor is neutral.,"[""PAGE-006""]",2026.07.19.3
BISCUIT_RELIEF,PUPPY,GF-0007,GF-MERCHANT-01,SAME_PROCESSOR_MERCHANT,PAGE-007,SETTLE-0007,processor_merchant_id,MER-6104,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Shared merchant links collection and settlement; processor is neutral.,"[""PAGE-007""]",2026.07.19.3
BISCUIT_RELIEF,PUPPY,GF-0008,GF-MERCHANT-01,SAME_PROCESSOR_MERCHANT,PAGE-008,SETTLE-0008,processor_merchant_id,MER-6104,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Shared merchant links collection and settlement; processor is neutral.,"[""PAGE-008""]",2026.07.19.3
BISCUIT_RELIEF,PUPPY,GF-0009,GF-PAYOUT-01,SAME_PAYOUT_ACCOUNT,SETTLE-0001,A-GBRF-6401,destination_account_id,••••6401,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Exact payout account identifies where settlements landed.,"[""SETTLE-0001""]",2026.07.19.3
BISCUIT_RELIEF,PUPPY,GF-0010,GF-PAYOUT-01,SAME_PAYOUT_ACCOUNT,SETTLE-0002,A-GBRF-6401,destination_account_id,••••6401,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Exact payout account identifies where settlements landed.,"[""SETTLE-0002""]",2026.07.19.3
BISCUIT_RELIEF,PUPPY,GF-0011,GF-PAYOUT-01,SAME_PAYOUT_ACCOUNT,SETTLE-0003,A-GBRF-6401,destination_account_id,••••6401,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Exact payout account identifies where settlements landed.,"[""SETTLE-0003""]",2026.07.19.3
BISCUIT_RELIEF,PUPPY,GF-0012,GF-PAYOUT-01,SAME_PAYOUT_ACCOUNT,SETTLE-0004,A-GBRF-6401,destination_account_id,••••6401,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Exact payout account identifies where settlements landed.,"[""SETTLE-0004""]",2026.07.19.3
BISCUIT_RELIEF,PUPPY,GF-0013,GF-PAYOUT-01,SAME_PAYOUT_ACCOUNT,SETTLE-0005,A-GBRF-6401,destination_account_id,••••6401,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Exact payout account identifies where settlements landed.,"[""SETTLE-0005""]",2026.07.19.3
BISCUIT_RELIEF,PUPPY,GF-0014,GF-PAYOUT-01,SAME_PAYOUT_ACCOUNT,SETTLE-0006,A-GBRF-6401,destination_account_id,••••6401,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Exact payout account identifies where settlements landed.,"[""SETTLE-0006""]",2026.07.19.3
