case_id,assertion_id,assertion_type,subject_record_id,related_record_ids_json,expected_value_json,severity,description,snapshot_version
PANAMA_PAWPERS,ASSERT-ENTITY_CONTROL_TRUTH-38FE9C8EF2B3D309,ENTITY_CONTROL_TRUTH,CE-CROWN,"[""P-MARCELLUS""]","{""beneficial_owner_truth_id"":""P-MARCELLUS"",""corporate_entity_id"":""CE-CROWN"",""truth_category"":""FRAUD_CONTROLLED""}",REQUIRED,"Converted protected truth row from entity_control_truth.csv, source row 1.",2026.07.19.2
PANAMA_PAWPERS,ASSERT-ENTITY_CONTROL_TRUTH-6034B9A1D0CE89F0,ENTITY_CONTROL_TRUTH,CE-CORAL,"[""P-MARCELLUS""]","{""beneficial_owner_truth_id"":""P-MARCELLUS"",""corporate_entity_id"":""CE-CORAL"",""truth_category"":""FRAUD_CONTROLLED""}",REQUIRED,"Converted protected truth row from entity_control_truth.csv, source row 2.",2026.07.19.2
PANAMA_PAWPERS,ASSERT-ENTITY_CONTROL_TRUTH-1DE51E217F28ECCD,ENTITY_CONTROL_TRUTH,CE-LANTERN,"[""P-MARCELLUS""]","{""beneficial_owner_truth_id"":""P-MARCELLUS"",""corporate_entity_id"":""CE-LANTERN"",""truth_category"":""FRAUD_CONTROLLED""}",REQUIRED,"Converted protected truth row from entity_control_truth.csv, source row 3.",2026.07.19.2
PANAMA_PAWPERS,ASSERT-ENTITY_CONTROL_TRUTH-3D63A83CFBA87D5F,ENTITY_CONTROL_TRUTH,CE-DRIFTWOOD,"[""P-MARCELLUS""]","{""beneficial_owner_truth_id"":""P-MARCELLUS"",""corporate_entity_id"":""CE-DRIFTWOOD"",""truth_category"":""FRAUD_CONTROLLED""}",REQUIRED,"Converted protected truth row from entity_control_truth.csv, source row 4.",2026.07.19.2
PANAMA_PAWPERS,ASSERT-ENTITY_CONTROL_TRUTH-23717D6C5C6DF0B0,ENTITY_CONTROL_TRUTH,CE-SABLEPORT,"[""P-MARCELLUS""]","{""beneficial_owner_truth_id"":""P-MARCELLUS"",""corporate_entity_id"":""CE-SABLEPORT"",""truth_category"":""FRAUD_CONTROLLED""}",REQUIRED,"Converted protected truth row from entity_control_truth.csv, source row 5.",2026.07.19.2
PANAMA_PAWPERS,ASSERT-ENTITY_CONTROL_TRUTH-80D5D7088108C7F6,ENTITY_CONTROL_TRUTH,CE-BLUEPAW,"[""P-MARCELLUS""]","{""beneficial_owner_truth_id"":""P-MARCELLUS"",""corporate_entity_id"":""CE-BLUEPAW"",""truth_category"":""FRAUD_CONTROLLED""}",REQUIRED,"Converted protected truth row from entity_control_truth.csv, source row 6.",2026.07.19.2
PANAMA_PAWPERS,ASSERT-ENTITY_CONTROL_TRUTH-2CC9896CCBF4D169,ENTITY_CONTROL_TRUTH,CE-FAMILY,"[""DECLARED_OR_NONE""]","{""beneficial_owner_truth_id"":""DECLARED_OR_NONE"",""corporate_entity_id"":""CE-FAMILY"",""truth_category"":""LAWFUL_COMPARATOR""}",REQUIRED,"Converted protected truth row from entity_control_truth.csv, source row 7.",2026.07.19.2
PANAMA_PAWPERS,ASSERT-ENTITY_CONTROL_TRUTH-944D563AD49FD494,ENTITY_CONTROL_TRUTH,CE-FUND,"[""DECLARED_OR_NONE""]","{""beneficial_owner_truth_id"":""DECLARED_OR_NONE"",""corporate_entity_id"":""CE-FUND"",""truth_category"":""LAWFUL_COMPARATOR""}",REQUIRED,"Converted protected truth row from entity_control_truth.csv, source row 8.",2026.07.19.2
PANAMA_PAWPERS,ASSERT-ENTITY_CONTROL_TRUTH-14C2AC1D5DACA591,ENTITY_CONTROL_TRUTH,CE-CHARITY,"[""DECLARED_OR_NONE""]","{""beneficial_owner_truth_id"":""DECLARED_OR_NONE"",""corporate_entity_id"":""CE-CHARITY"",""truth_category"":""LAWFUL_COMPARATOR""}",REQUIRED,"Converted protected truth row from entity_control_truth.csv, source row 9.",2026.07.19.2
PANAMA_PAWPERS,ASSERT-ENTITY_CONTROL_TRUTH-6EBB7717C0470209,ENTITY_CONTROL_TRUTH,CE-CROWNLOOK,"[""DECLARED_OR_NONE""]","{""beneficial_owner_truth_id"":""DECLARED_OR_NONE"",""corporate_entity_id"":""CE-CROWNLOOK"",""truth_category"":""BENIGN_OR_AMBIGUOUS""}",REQUIRED,"Converted protected truth row from entity_control_truth.csv, source row 10.",2026.07.19.2
PANAMA_PAWPERS,ASSERT-ENTITY_CONTROL_TRUTH-9224505D31268C78,ENTITY_CONTROL_TRUTH,CE-0011,"[""P-MARCELLUS""]","{""beneficial_owner_truth_id"":""P-MARCELLUS"",""corporate_entity_id"":""CE-0011"",""truth_category"":""FRAUD_CONTROLLED""}",REQUIRED,"Converted protected truth row from entity_control_truth.csv, source row 11.",2026.07.19.2
PANAMA_PAWPERS,ASSERT-ENTITY_CONTROL_TRUTH-8EE76090B11A9DDA,ENTITY_CONTROL_TRUTH,CE-0012,"[""P-MARCELLUS""]","{""beneficial_owner_truth_id"":""P-MARCELLUS"",""corporate_entity_id"":""CE-0012"",""truth_category"":""FRAUD_CONTROLLED""}",REQUIRED,"Converted protected truth row from entity_control_truth.csv, source row 12.",2026.07.19.2
PANAMA_PAWPERS,ASSERT-ENTITY_CONTROL_TRUTH-3210564548E868F5,ENTITY_CONTROL_TRUTH,CE-0013,"[""P-MARCELLUS""]","{""beneficial_owner_truth_id"":""P-MARCELLUS"",""corporate_entity_id"":""CE-0013"",""truth_category"":""FRAUD_CONTROLLED""}",REQUIRED,"Converted protected truth row from entity_control_truth.csv, source row 13.",2026.07.19.2
PANAMA_PAWPERS,ASSERT-ENTITY_CONTROL_TRUTH-0CF5FCD12249B171,ENTITY_CONTROL_TRUTH,CE-0014,"[""P-MARCELLUS""]","{""beneficial_owner_truth_id"":""P-MARCELLUS"",""corporate_entity_id"":""CE-0014"",""truth_category"":""FRAUD_CONTROLLED""}",REQUIRED,"Converted protected truth row from entity_control_truth.csv, source row 14.",2026.07.19.2
