case_id,profile_code,fixture_id,fixture_type,tool_family,selected_record_ids_json,input_payload_json,expected_result_count,expected_payload_json,description,snapshot_version
ACADEMY_T03,ACADEMY,CONNECTION_CLASSIFICATION_FIXTURES:T3-GENIE-001,CONNECTION_CLASSIFICATION_FIXTURES,GENIE,"[""T3-P-VERA"",""T3-O-MOONLIT""]","{""connection_id"":""T3-GENIE-001"",""engine"":""GENIE"",""expected_action"":""CLASSIFY_CONTROL"",""interpretation"":""Verified Corporate Registry control outweighs the null field in an incomplete KYC source."",""protected_entity_ids"":""T3-P-TARA"",""source_id"":""T3-P-VERA"",""target_id"":""T3-O-MOONLIT""}",1,"{""expected_action"":""CLASSIFY_CONTROL"",""interpretation"":""Verified Corporate Registry control outweighs the null field in an incomplete KYC source."",""protected_entity_ids"":""T3-P-TARA""}",Verified Corporate Registry control outweighs the null field in an incomplete KYC source.,2026.07.19.1
ACADEMY_T03,ACADEMY,CONNECTION_CLASSIFICATION_FIXTURES:T3-GENIE-002,CONNECTION_CLASSIFICATION_FIXTURES,GENIE,"[""T3-TX-404"",""T3-FILE-404""]","{""connection_id"":""T3-GENIE-002"",""engine"":""GENIE"",""expected_action"":""CLASSIFY_IMPOSSIBLE_CHRONOLOGY"",""interpretation"":""Payment precedes repository file creation and approval by more than two days."",""protected_entity_ids"":"""",""source_id"":""T3-TX-404"",""target_id"":""T3-FILE-404""}",1,"{""expected_action"":""CLASSIFY_IMPOSSIBLE_CHRONOLOGY"",""interpretation"":""Payment precedes repository file creation and approval by more than two days.""}",Payment precedes repository file creation and approval by more than two days.,2026.07.19.1
ACADEMY_T03,ACADEMY,CONNECTION_CLASSIFICATION_FIXTURES:T3-GENIE-003,CONNECTION_CLASSIFICATION_FIXTURES,GENIE,"[""T3-DOC-CONTRACT"",""T3-DOC-WORK""]","{""connection_id"":""T3-GENIE-003"",""engine"":""GENIE"",""expected_action"":""RECORD_LIMITATION"",""interpretation"":""Unavailable contract and partial archive do not prove nonexistence."",""protected_entity_ids"":"""",""source_id"":""T3-DOC-CONTRACT"",""target_id"":""T3-DOC-WORK""}",1,"{""expected_action"":""RECORD_LIMITATION"",""interpretation"":""Unavailable contract and partial archive do not prove nonexistence.""}",Unavailable contract and partial archive do not prove nonexistence.,2026.07.19.1
ACADEMY_T03,ACADEMY,CONNECTION_CLASSIFICATION_FIXTURES:T3-GENIE-004,CONNECTION_CLASSIFICATION_FIXTURES,GENIE,"[""T3-STMT-MILO"",""T3-ACCESS-TARA""]","{""connection_id"":""T3-GENIE-004"",""engine"":""GENIE"",""expected_action"":""PROTECT_AND_RECORD_UNCERTAINTY"",""interpretation"":""Independent access and vendor-session records outweigh the unsupported allegation against Tara, while the unavailable camera leaves residual uncertainty."",""protected_entity_ids"":""T3-P-TARA"",""source_id"":""T3-STMT-MILO"",""target_id"":""T3-ACCESS-TARA""}",1,"{""expected_action"":""PROTECT_AND_RECORD_UNCERTAINTY"",""interpretation"":""Independent access and vendor-session records outweigh the unsupported allegation against Tara, while the unavailable camera leaves residual uncertainty."",""protected_entity_ids"":""T3-P-TARA""}","Independent access and vendor-session records outweigh the unsupported allegation against Tara, while the unavailable camera leaves residual uncertainty.",2026.07.19.1
ACADEMY_T03,ACADEMY,GENIE_QUERY_FIXTURES:T3-GENIE-001,GENIE_QUERY_FIXTURES,GENIE,"[""T3-P-VERA"",""T3-A-MOONLIT"",""T3-DEV-VERA"",""T3-DOC-CORP"",""T3-DOC-KYC""]","{""match_mode"":""CANONICAL_OR_SEMANTIC"",""player_message"":""Moonlit owns the receiving account, and Corporate Registry identifies Vera Vizsla as sole director. The KYC beneficial-owner field is null because the legacy record is incomplete; null does not mean no owner."",""query_class"":""PRECISE_OWNERSHIP"",""query_id"":""T3-GENIE-001"",""query_text"":""Who controls the recipient of the 4,800 BSC payment for invoice GI-404?"",""quoted_cost"":""3"",""result_status"":""RESULT"",""revealed_record_ids"":""T3-P-VERA;T3-A-MOONLIT;T3-DEV-VERA;T3-DOC-CORP;T3-DOC-KYC"",""revealed_relationship_ids"":""T3-REL-003;T3-REL-004;T3-REL-005;T3-REL-012;T3-REL-019;T3-REL-020""}",5,"{""player_message"":""Moonlit owns the receiving account, and Corporate Registry identifies Vera Vizsla as sole director. The KYC beneficial-owner field is null because the legacy record is incomplete; null does not mean no owner."",""result_status"":""RESULT"",""revealed_record_ids"":""T3-P-VERA;T3-A-MOONLIT;T3-DEV-VERA;T3-DOC-CORP;T3-DOC-KYC"",""revealed_relationship_ids"":""T3-REL-003;T3-REL-004;T3-REL-005;T3-REL-012;T3-REL-019;T3-REL-020""}","Moonlit owns the receiving account, and Corporate Registry identifies Vera Vizsla as sole director. The KYC beneficial-owner field is null because the legacy record is incomplete; null does not mean no owner.",2026.07.19.1
ACADEMY_T03,ACADEMY,GENIE_QUERY_FIXTURES:T3-GENIE-002,GENIE_QUERY_FIXTURES,GENIE,"[""T3-INV-401"",""T3-RECV-401"",""T3-TX-401"",""T3-FILE-404"",""T3-LOGIN-VERA"",""T3-APPROVAL-404""]","{""match_mode"":""CANONICAL_OR_SEMANTIC"",""player_message"":""GI-401 is valid after UTC normalization. GI-404 was paid on April 4, but its file and approval were created on April 6. A displayed date can cross midnight; a repository file cannot exist two days before creation."",""query_class"":""PRECISE_CHRONOLOGY"",""query_id"":""T3-GENIE-002"",""query_text"":""Normalize and order the issue, receipt, file-creation, approval and payment times for invoices GI-401 and GI-404."",""quoted_cost"":""3"",""result_status"":""RESULT"",""revealed_record_ids"":""T3-INV-401;T3-RECV-401;T3-TX-401;T3-FILE-404;T3-LOGIN-VERA;T3-APPROVAL-404"",""revealed_relationship_ids"":""T3-REL-006;T3-REL-007;T3-REL-008;T3-REL-009;T3-REL-014;T3-REL-015;T3-REL-016;T3-REL-017;T3-REL-018""}",6,"{""player_message"":""GI-401 is valid after UTC normalization. GI-404 was paid on April 4, but its file and approval were created on April 6. A displayed date can cross midnight; a repository file cannot exist two days before creation."",""result_status"":""RESULT"",""revealed_record_ids"":""T3-INV-401;T3-RECV-401;T3-TX-401;T3-FILE-404;T3-LOGIN-VERA;T3-APPROVAL-404"",""revealed_relationship_ids"":""T3-REL-006;T3-REL-007;T3-REL-008;T3-REL-009;T3-REL-014;T3-REL-015;T3-REL-016;T3-REL-017;T3-REL-018""}","GI-401 is valid after UTC normalization. GI-404 was paid on April 4, but its file and approval were created on April 6. A displayed date can cross midnight; a repository file cannot exist two days before creation.",2026.07.19.1
ACADEMY_T03,ACADEMY,GENIE_QUERY_FIXTURES:T3-GENIE-003,GENIE_QUERY_FIXTURES,GENIE,"[""T3-DOC-CONTRACT"",""T3-DOC-WORK""]","{""match_mode"":""CANONICAL_OR_SEMANTIC"",""player_message"":""The contract is unavailable and the work-product archive is partial. No deliverable was found, but the search cannot prove that no work product ever existed."",""query_class"":""PRECISE_EVIDENCE_COVERAGE"",""query_id"":""T3-GENIE-003"",""query_text"":""Find the contract and delivered work products supporting invoice GI-404, and report any coverage limitations."",""quoted_cost"":""3"",""result_status"":""PARTIAL_RESULT_WITH_LIMITATIONS"",""revealed_record_ids"":""T3-DOC-CONTRACT;T3-DOC-WORK"",""revealed_relationship_ids"":""T3-REL-021;T3-REL-022""}",2,"{""player_message"":""The contract is unavailable and the work-product archive is partial. No deliverable was found, but the search cannot prove that no work product ever existed."",""result_status"":""PARTIAL_RESULT_WITH_LIMITATIONS"",""revealed_record_ids"":""T3-DOC-CONTRACT;T3-DOC-WORK"",""revealed_relationship_ids"":""T3-REL-021;T3-REL-022""}","The contract is unavailable and the work-product archive is partial. No deliverable was found, but the search cannot prove that no work product ever existed.",2026.07.19.1
ACADEMY_T03,ACADEMY,GENIE_QUERY_FIXTURES:T3-GENIE-004,GENIE_QUERY_FIXTURES,GENIE,"[""T3-P-MILO"",""T3-STMT-MILO"",""T3-STMT-TARA"",""T3-ACCESS-TARA"",""T3-DOC-CAMERA""]","{""match_mode"":""CANONICAL_OR_SEMANTIC"",""player_message"":""Milo’s statement accuses Tara, but access control places Tara outside the office before the approval. Vera’s vendor-admin session created the approval. The unavailable camera prevents a complete reconstruction, so residual uncertainty must be recorded."",""query_class"":""PRECISE_CONFLICT_ANALYSIS"",""query_id"":""T3-GENIE-004"",""query_text"":""Compare the statements and access records related to the GI-404 approval and identify unresolved conflicts."",""quoted_cost"":""3"",""result_status"":""RESULT_WITH_RESIDUAL_UNCERTAINTY"",""revealed_record_ids"":""T3-P-MILO;T3-STMT-MILO;T3-STMT-TARA;T3-ACCESS-TARA;T3-DOC-CAMERA"",""revealed_relationship_ids"":""T3-REL-002;T3-REL-023;T3-REL-024;T3-REL-025;T3-REL-026;T3-REL-027""}",5,"{""player_message"":""Milo’s statement accuses Tara, but access control places Tara outside the office before the approval. Vera’s vendor-admin session created the approval. The unavailable camera prevents a complete reconstruction, so residual uncertainty must be recorded."",""result_status"":""RESULT_WITH_RESIDUAL_UNCERTAINTY"",""revealed_record_ids"":""T3-P-MILO;T3-STMT-MILO;T3-STMT-TARA;T3-ACCESS-TARA;T3-DOC-CAMERA"",""revealed_relationship_ids"":""T3-REL-002;T3-REL-023;T3-REL-024;T3-REL-025;T3-REL-026;T3-REL-027""}","Milo’s statement accuses Tara, but access control places Tara outside the office before the approval. Vera’s vendor-admin session created the approval. The unavailable camera prevents a complete reconstruction, so residual uncertainty must be recorded.",2026.07.19.1
ACADEMY_T03,ACADEMY,GENIE_QUERY_FIXTURES:T3-GENIE-005,GENIE_QUERY_FIXTURES,GENIE,[],"{""match_mode"":""CANONICAL_OR_SEMANTIC"",""player_message"":""No additional relevant records were found. The broad search completed and the quoted credits are still charged."",""query_class"":""BROAD_INEFFICIENT"",""query_id"":""T3-GENIE-005"",""query_text"":""Find anything else suspicious anywhere in the entire case."",""quoted_cost"":""6"",""result_status"":""NO_ADDITIONAL_RELEVANT_RECORDS"",""revealed_record_ids"":"""",""revealed_relationship_ids"":""""}",,"{""player_message"":""No additional relevant records were found. The broad search completed and the quoted credits are still charged."",""result_status"":""NO_ADDITIONAL_RELEVANT_RECORDS""}",No additional relevant records were found. The broad search completed and the quoted credits are still charged.,2026.07.19.1
ACADEMY_T03,ACADEMY,NO_RESULT_FIXTURES:T3-NR-001,NO_RESULT_FIXTURES,GENIE,[],"{""cost"":""6"",""fixture_id"":""T3-NR-001"",""player_message"":""The broad query completed without finding additional relevant records. The quoted six credits are charged."",""query_or_rule"":""T3-GENIE-005"",""result_count"":""0"",""result_status"":""NO_ADDITIONAL_RELEVANT_RECORDS"",""tool"":""GENIE""}",0,"{""player_message"":""The broad query completed without finding additional relevant records. The quoted six credits are charged."",""result_count"":""0"",""result_status"":""NO_ADDITIONAL_RELEVANT_RECORDS""}",The broad query completed without finding additional relevant records. The quoted six credits are charged.,2026.07.19.1
