case_id,profile_code,match_id,rule_id,relationship_type,left_record_id,right_record_id,exact_field,masked_exact_value,normalization_version,generation_mode,framework_semantics,actual_engine_run,ambiguity_warning,supporting_record_ids_json,snapshot_version
GOLDEN_HYDRANT,ADULT,GF-0001,GF-BID-TEMPLATE,SAME_BID_TEMPLATE,BID-0001,BID-0003,bid_template_hash,bid-template-coordinated-v4,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Common template may indicate coordination or a shared consultant; corroborate it.,"[""BID-0001"",""BID-0003""]",2026.07.18.1
GOLDEN_HYDRANT,ADULT,GF-0002,GF-UNIT-FP,SAME_UNIT_PRICE_FINGERPRINT,BID-0001,BID-0004,unit_price_fingerprint,hydrant-unit-fp-8831,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Matching unit-price fingerprints support coordinated pricing but are not sufficient alone.,"[""BID-0001"",""BID-0004""]",2026.07.18.1
GOLDEN_HYDRANT,ADULT,GF-0003,GF-BID-IP,SAME_BIDDER_IP,BID-0003,BID-0004,submission_ip,198.51.100.87,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,A shared IP can reflect a bid consultant or common office.,"[""BID-0003"",""BID-0004""]",2026.07.18.1
GOLDEN_HYDRANT,ADULT,GF-0004,GF-BID-TEMPLATE,SAME_BID_TEMPLATE,BID-0006,BID-0008,bid_template_hash,bid-template-coordinated-v4,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Common template may indicate coordination or a shared consultant; corroborate it.,"[""BID-0006"",""BID-0008""]",2026.07.18.1
GOLDEN_HYDRANT,ADULT,GF-0005,GF-UNIT-FP,SAME_UNIT_PRICE_FINGERPRINT,BID-0006,BID-0009,unit_price_fingerprint,hydrant-unit-fp-8831,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Matching unit-price fingerprints support coordinated pricing but are not sufficient alone.,"[""BID-0006"",""BID-0009""]",2026.07.18.1
GOLDEN_HYDRANT,ADULT,GF-0006,GF-BID-IP,SAME_BIDDER_IP,BID-0008,BID-0009,submission_ip,198.51.100.87,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,A shared IP can reflect a bid consultant or common office.,"[""BID-0008"",""BID-0009""]",2026.07.18.1
GOLDEN_HYDRANT,ADULT,GF-0007,GF-BID-TEMPLATE,SAME_BID_TEMPLATE,BID-0011,BID-0013,bid_template_hash,bid-template-coordinated-v4,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Common template may indicate coordination or a shared consultant; corroborate it.,"[""BID-0011"",""BID-0013""]",2026.07.18.1
GOLDEN_HYDRANT,ADULT,GF-0008,GF-UNIT-FP,SAME_UNIT_PRICE_FINGERPRINT,BID-0011,BID-0014,unit_price_fingerprint,hydrant-unit-fp-8831,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Matching unit-price fingerprints support coordinated pricing but are not sufficient alone.,"[""BID-0011"",""BID-0014""]",2026.07.18.1
GOLDEN_HYDRANT,ADULT,GF-0009,GF-BID-IP,SAME_BIDDER_IP,BID-0013,BID-0014,submission_ip,198.51.100.87,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,A shared IP can reflect a bid consultant or common office.,"[""BID-0013"",""BID-0014""]",2026.07.18.1
GOLDEN_HYDRANT,ADULT,GF-0010,GF-BID-TEMPLATE,SAME_BID_TEMPLATE,BID-0016,BID-0018,bid_template_hash,bid-template-coordinated-v4,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Common template may indicate coordination or a shared consultant; corroborate it.,"[""BID-0016"",""BID-0018""]",2026.07.18.1
GOLDEN_HYDRANT,ADULT,GF-0011,GF-UNIT-FP,SAME_UNIT_PRICE_FINGERPRINT,BID-0016,BID-0019,unit_price_fingerprint,hydrant-unit-fp-8831,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Matching unit-price fingerprints support coordinated pricing but are not sufficient alone.,"[""BID-0016"",""BID-0019""]",2026.07.18.1
GOLDEN_HYDRANT,ADULT,GF-0012,GF-BID-IP,SAME_BIDDER_IP,BID-0018,BID-0019,submission_ip,198.51.100.87,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,A shared IP can reflect a bid consultant or common office.,"[""BID-0018"",""BID-0019""]",2026.07.18.1
