case_id,profile_code,relationship_id,relationship_family,relationship_type,source_record_id,target_record_id,directed,event_time,weight,supporting_record_ids_json,safe_summary,provenance,safe_attributes_json,snapshot_version
BISCUIT_RELIEF,PUPPY,REF-BAA11EAC5B5F8C7F1AB5,SOURCE_REFERENCE,REFERENCES_CAMPAIGN_ID,AD-0001,CAMP-001,true,,,"[""AD-0001""]",AD-0001 references CAMP-001 through campaign_id.,genie/puppy/advertisements.csv,"{""inferred"":true,""source_column"":""campaign_id""}",2026.07.19.3
BISCUIT_RELIEF,PUPPY,REF-42BE7E88375BC8FE62C8,SOURCE_REFERENCE,REFERENCES_CREATED_BY_RECORD_ID,AD-0001,PR-MINA-02,true,,,"[""AD-0001""]",AD-0001 references PR-MINA-02 through created_by_record_id.,genie/puppy/advertisements.csv,"{""inferred"":true,""source_column"":""created_by_record_id""}",2026.07.19.3
BISCUIT_RELIEF,PUPPY,REF-A9ED17A3A2849409BF20,SOURCE_REFERENCE,REFERENCES_CAMPAIGN_ID,AD-0002,CAMP-002,true,,,"[""AD-0002""]",AD-0002 references CAMP-002 through campaign_id.,genie/puppy/advertisements.csv,"{""inferred"":true,""source_column"":""campaign_id""}",2026.07.19.3
BISCUIT_RELIEF,PUPPY,REF-11A23B6941C83C3E462E,SOURCE_REFERENCE,REFERENCES_CREATED_BY_RECORD_ID,AD-0002,PR-MINA-02,true,,,"[""AD-0002""]",AD-0002 references PR-MINA-02 through created_by_record_id.,genie/puppy/advertisements.csv,"{""inferred"":true,""source_column"":""created_by_record_id""}",2026.07.19.3
BISCUIT_RELIEF,PUPPY,REF-F37859DE8D8977604F43,SOURCE_REFERENCE,REFERENCES_CAMPAIGN_ID,AD-0003,CAMP-003,true,,,"[""AD-0003""]",AD-0003 references CAMP-003 through campaign_id.,genie/puppy/advertisements.csv,"{""inferred"":true,""source_column"":""campaign_id""}",2026.07.19.3
BISCUIT_RELIEF,PUPPY,REF-F2E35FF0300ED3B33F77,SOURCE_REFERENCE,REFERENCES_CREATED_BY_RECORD_ID,AD-0003,PR-MINA-02,true,,,"[""AD-0003""]",AD-0003 references PR-MINA-02 through created_by_record_id.,genie/puppy/advertisements.csv,"{""inferred"":true,""source_column"":""created_by_record_id""}",2026.07.19.3
BISCUIT_RELIEF,PUPPY,REF-C527301EDAB6BD455E73,SOURCE_REFERENCE,REFERENCES_CAMPAIGN_ID,AD-0004,CAMP-004,true,,,"[""AD-0004""]",AD-0004 references CAMP-004 through campaign_id.,genie/puppy/advertisements.csv,"{""inferred"":true,""source_column"":""campaign_id""}",2026.07.19.3
BISCUIT_RELIEF,PUPPY,REF-9A99DBC1E160DAB429C2,SOURCE_REFERENCE,REFERENCES_CREATED_BY_RECORD_ID,AD-0004,PR-MINA-02,true,,,"[""AD-0004""]",AD-0004 references PR-MINA-02 through created_by_record_id.,genie/puppy/advertisements.csv,"{""inferred"":true,""source_column"":""created_by_record_id""}",2026.07.19.3
BISCUIT_RELIEF,PUPPY,REF-1BD2B82E0521143919AF,SOURCE_REFERENCE,REFERENCES_CAMPAIGN_ID,AD-0005,CAMP-005,true,,,"[""AD-0005""]",AD-0005 references CAMP-005 through campaign_id.,genie/puppy/advertisements.csv,"{""inferred"":true,""source_column"":""campaign_id""}",2026.07.19.3
BISCUIT_RELIEF,PUPPY,REF-B0B9FAA444AF62991827,SOURCE_REFERENCE,REFERENCES_CREATED_BY_RECORD_ID,AD-0005,PR-MINA-02,true,,,"[""AD-0005""]",AD-0005 references PR-MINA-02 through created_by_record_id.,genie/puppy/advertisements.csv,"{""inferred"":true,""source_column"":""created_by_record_id""}",2026.07.19.3
