case_id,profile_code,match_id,rule_id,relationship_type,left_record_id,right_record_id,exact_field,masked_exact_value,normalization_version,generation_mode,framework_semantics,actual_engine_run,ambiguity_warning,supporting_record_ids_json,snapshot_version
MADDOG,PUPPY,GF-0001,GF-ACCOUNT-01,SAME_RECEIVING_ACCOUNT,DOC-030,A-BLUE-7714,normalized_receiving_account,••••7714,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Exact account association; not proof of purpose.,"[""DOC-030""]",2026.07.19.1
MADDOG,PUPPY,GF-0002,GF-ACCOUNT-01,SAME_RECEIVING_ACCOUNT,DOC-031,A-BLUE-7714,normalized_receiving_account,••••7714,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Exact account association; not proof of purpose.,"[""DOC-031""]",2026.07.19.1
MADDOG,PUPPY,GF-0003,GF-ACCOUNT-01,SAME_RECEIVING_ACCOUNT,DOC-032,A-BLUE-7714,normalized_receiving_account,••••7714,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Exact account association; not proof of purpose.,"[""DOC-032""]",2026.07.19.1
MADDOG,PUPPY,GF-0004,GF-ACCOUNT-02,SAME_BENEFICIARY_ACCOUNT,TX-001-X,A-MAX-9921,beneficiary_account,••••9921,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Ownership must be established separately.,"[""TX-001-X""]",2026.07.19.1
MADDOG,PUPPY,GF-0005,GF-ACCOUNT-02,SAME_BENEFICIARY_ACCOUNT,TX-002-X,A-MAX-9921,beneficiary_account,••••9921,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Ownership must be established separately.,"[""TX-002-X""]",2026.07.19.1
MADDOG,PUPPY,GF-0006,GF-ACCOUNT-02,SAME_BENEFICIARY_ACCOUNT,TX-003-X,A-MAX-9921,beneficiary_account,••••9921,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Ownership must be established separately.,"[""TX-003-X""]",2026.07.19.1
MADDOG,PUPPY,GF-0007,GF-ACCOUNT-02,SAME_BENEFICIARY_ACCOUNT,TX-004-X,A-MAX-9921,beneficiary_account,••••9921,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Ownership must be established separately.,"[""TX-004-X""]",2026.07.19.1
MADDOG,PUPPY,GF-0008,GF-ACCOUNT-02,SAME_BENEFICIARY_ACCOUNT,TX-005-X,A-MAX-9921,beneficiary_account,••••9921,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Ownership must be established separately.,"[""TX-005-X""]",2026.07.19.1
MADDOG,PUPPY,GF-0009,GF-ADDRESS-01,SAME_ADDRESS,OR-MIK-01,OR-BLUE-01,normalized_address,14 LANTERN ALLEY,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,"Shared premises is association, not culpability.","[""ADDR-LANTERN-14""]",2026.07.19.1
MADDOG,PUPPY,GF-0010,GF-PHONE-01,SAME_SUPPORT_PHONE,OR-MIK-01,OR-BLUE-01,normalized_phone,•••-•••-0147,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,Shared support line indicates infrastructure.,"[""OR-MIK-01"",""OR-BLUE-01""]",2026.07.19.1
