case_id,match_id,rule_id,relationship_type,left_record_id,right_record_id,exact_field,masked_exact_value,normalization_version,generation_mode,framework_semantics,actual_engine_run,authoring_method_version,review_status,ambiguity_warning,supporting_record_ids_json,content_role,metadata_json,snapshot_version
LOVE_LEASHES_OFFSHORE,GF-0001,GF-PROFILE-IMAGE,SAME_PROFILE_IMAGE,PER-0001,PER-0025,profile_image_hash,img-romance-001,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,A common image can indicate persona reuse or benign media reuse; corroborate it.,"[""PER-0001"",""PER-0025""]",CORE_EVIDENCE,"{""source_dataset"":""analytics/love_graphframes_exact_relationships.csv""}",2026.07.18.1
LOVE_LEASHES_OFFSHORE,GF-0002,GF-PROFILE-IMAGE,SAME_PROFILE_IMAGE,PER-0025,PER-0049,profile_image_hash,img-romance-001,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,A common image can indicate persona reuse or benign media reuse; corroborate it.,"[""PER-0025"",""PER-0049""]",CORE_EVIDENCE,"{""source_dataset"":""analytics/love_graphframes_exact_relationships.csv""}",2026.07.18.1
LOVE_LEASHES_OFFSHORE,GF-0003,GF-PROFILE-IMAGE,SAME_PROFILE_IMAGE,PER-0049,PER-0073,profile_image_hash,img-romance-001,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,A common image can indicate persona reuse or benign media reuse; corroborate it.,"[""PER-0049"",""PER-0073""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/love_graphframes_exact_relationships.csv""}",2026.07.18.1
LOVE_LEASHES_OFFSHORE,GF-0004,GF-PROFILE-IMAGE,SAME_PROFILE_IMAGE,PER-0073,PER-0097,profile_image_hash,img-romance-001,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,A common image can indicate persona reuse or benign media reuse; corroborate it.,"[""PER-0073"",""PER-0097""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/love_graphframes_exact_relationships.csv""}",2026.07.18.1
LOVE_LEASHES_OFFSHORE,GF-0005,GF-PROFILE-IMAGE,SAME_PROFILE_IMAGE,PER-0002,PER-0026,profile_image_hash,img-romance-002,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,A common image can indicate persona reuse or benign media reuse; corroborate it.,"[""PER-0002"",""PER-0026""]",CORE_EVIDENCE,"{""source_dataset"":""analytics/love_graphframes_exact_relationships.csv""}",2026.07.18.1
LOVE_LEASHES_OFFSHORE,GF-0006,GF-PROFILE-IMAGE,SAME_PROFILE_IMAGE,PER-0026,PER-0050,profile_image_hash,img-romance-002,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,A common image can indicate persona reuse or benign media reuse; corroborate it.,"[""PER-0026"",""PER-0050""]",CORE_EVIDENCE,"{""source_dataset"":""analytics/love_graphframes_exact_relationships.csv""}",2026.07.18.1
LOVE_LEASHES_OFFSHORE,GF-0007,GF-PROFILE-IMAGE,SAME_PROFILE_IMAGE,PER-0050,PER-0074,profile_image_hash,img-romance-002,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,A common image can indicate persona reuse or benign media reuse; corroborate it.,"[""PER-0050"",""PER-0074""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/love_graphframes_exact_relationships.csv""}",2026.07.18.1
LOVE_LEASHES_OFFSHORE,GF-0008,GF-PROFILE-IMAGE,SAME_PROFILE_IMAGE,PER-0074,PER-0098,profile_image_hash,img-romance-002,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,A common image can indicate persona reuse or benign media reuse; corroborate it.,"[""PER-0074"",""PER-0098""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/love_graphframes_exact_relationships.csv""}",2026.07.18.1
LOVE_LEASHES_OFFSHORE,GF-0009,GF-PROFILE-IMAGE,SAME_PROFILE_IMAGE,PER-0098,PER-0170,profile_image_hash,img-romance-002,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,A common image can indicate persona reuse or benign media reuse; corroborate it.,"[""PER-0098"",""PER-0170""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/love_graphframes_exact_relationships.csv""}",2026.07.18.1
LOVE_LEASHES_OFFSHORE,GF-0010,GF-PROFILE-IMAGE,SAME_PROFILE_IMAGE,PER-0003,PER-0027,profile_image_hash,img-romance-003,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,SENIOR_V1_TO_CANONICAL_V1,APPROVED,A common image can indicate persona reuse or benign media reuse; corroborate it.,"[""PER-0003"",""PER-0027""]",CORE_EVIDENCE,"{""source_dataset"":""analytics/love_graphframes_exact_relationships.csv""}",2026.07.18.1
