case_id,profile_code,candidate_id,left_record_id,right_record_id,entity_type,confidence_band,estimated_score,agreement_fields_json,disagreement_fields_json,missing_fields_json,generation_mode,framework_semantics,actual_engine_run,provenance_note,snapshot_version
DOWNLINE,ADULT,Z-0001,PR-REX-01,PR-REX-02,PERSON,HIGH,,"[""name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same participant or professional across compatible source records.,2026.07.18.1-L2
DOWNLINE,ADULT,Z-0002,PR-REX-01,PR-REX-03,PERSON,MEDIUM_HIGH,,"[""name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same participant or professional across compatible source records.,2026.07.18.1-L2
DOWNLINE,ADULT,Z-0003,PR-REX-02,PR-REX-03,PERSON,MEDIUM_HIGH,,"[""name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same participant or professional across compatible source records.,2026.07.18.1-L2
DOWNLINE,ADULT,Z-0004,PR-CELESTE-01,PR-CELESTE-02,PERSON,HIGH,,"[""name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same participant or professional across compatible source records.,2026.07.18.1-L2
DOWNLINE,ADULT,Z-0005,PR-CELESTE-01,PR-CELESTE-03,PERSON,MEDIUM_HIGH,,"[""name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same participant or professional across compatible source records.,2026.07.18.1-L2
DOWNLINE,ADULT,Z-0006,PR-CELESTE-02,PR-CELESTE-03,PERSON,MEDIUM_HIGH,,"[""name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same participant or professional across compatible source records.,2026.07.18.1-L2
DOWNLINE,ADULT,Z-0007,PR-QUINCY-01,PR-QUINCY-02,PERSON,HIGH,,"[""name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same participant or professional across compatible source records.,2026.07.18.1-L2
DOWNLINE,ADULT,Z-0008,PR-QUINCY-01,PR-QUINCY-03,PERSON,MEDIUM_HIGH,,"[""name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same participant or professional across compatible source records.,2026.07.18.1-L2
DOWNLINE,ADULT,Z-0009,PR-QUINCY-02,PR-QUINCY-03,PERSON,MEDIUM_HIGH,,"[""name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same participant or professional across compatible source records.,2026.07.18.1-L2
DOWNLINE,ADULT,Z-0010,PR-BRUNO-01,PR-BRUNO-02,PERSON,HIGH,,"[""name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same participant or professional across compatible source records.,2026.07.18.1-L2
DOWNLINE,ADULT,Z-0011,PR-BRUNO-01,PR-BRUNO-03,PERSON,MEDIUM_HIGH,,"[""name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same participant or professional across compatible source records.,2026.07.18.1-L2
DOWNLINE,ADULT,Z-0012,PR-BRUNO-02,PR-BRUNO-03,PERSON,MEDIUM_HIGH,,"[""name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same participant or professional across compatible source records.,2026.07.18.1-L2
DOWNLINE,ADULT,Z-0013,PR-ROSIE-01,PR-ROSIE-02,PERSON,HIGH,,"[""name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same participant or professional across compatible source records.,2026.07.18.1-L2
DOWNLINE,ADULT,Z-0014,PR-ROSIE-01,PR-ROSIE-03,PERSON,MEDIUM_HIGH,,"[""name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same participant or professional across compatible source records.,2026.07.18.1-L2
DOWNLINE,ADULT,Z-0015,PR-ROSIE-02,PR-ROSIE-03,PERSON,MEDIUM_HIGH,,"[""name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same participant or professional across compatible source records.,2026.07.18.1-L2
DOWNLINE,ADULT,Z-0016,PR-TILLY-01,PR-TILLY-02,PERSON,HIGH,,"[""name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same participant or professional across compatible source records.,2026.07.18.1-L2
DOWNLINE,ADULT,Z-0017,PR-TILLY-01,PR-TILLY-03,PERSON,MEDIUM_HIGH,,"[""name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same participant or professional across compatible source records.,2026.07.18.1-L2
DOWNLINE,ADULT,Z-0018,PR-TILLY-02,PR-TILLY-03,PERSON,MEDIUM_HIGH,,"[""name"",""email_or_phone""]","[""source_format""]",[],CURATED_APPROXIMATION,ZINGG_ENTITY_RESOLUTION,false,Likely same participant or professional across compatible source records.,2026.07.18.1-L2
