case_id,profile_code,relationship_id,relationship_family,relationship_type,source_record_id,target_record_id,directed,event_time,weight,supporting_record_ids_json,safe_summary,provenance,safe_attributes_json,snapshot_version
ACADEMY_T02,ACADEMY,T2-REL-001,DIRECT_SOURCE,DIRECTOR_OF,T2-P-CIPHER-A,T2-O-ALPHA,true,,,[],Cipher Corgi is director of Alpha Bone Ltd.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T02,ACADEMY,T2-REL-002,DIRECT_SOURCE,DIRECTOR_OF,T2-P-CIPHER-A,T2-O-BETA,true,,,[],Cipher Corgi is director of Beta Bone Ltd.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T02,ACADEMY,T2-REL-003,DIRECT_SOURCE,PORTAL_ADMIN_OF,T2-P-CIPHER-B,T2-O-GAMMA,true,,,[],C. Corgi administers Gamma Bone Ltd in the vendor portal.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T02,ACADEMY,T2-REL-004,DIRECT_SOURCE,WORKS_FOR,T2-P-CYPHER,T2-O-BAKERY,true,,,[],Cypher Corgi works for Blue Bowl Bakery.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T02,ACADEMY,T2-REL-005,DIRECT_SOURCE,REGISTERED_AT,T2-O-GAMMA,T2-ADDR-HUB,true,,,[],Gamma is registered at 10 Shared Kennel Way.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T02,ACADEMY,T2-REL-006,DIRECT_SOURCE,REGISTERED_AT,T2-O-BAKERY,T2-ADDR-HUB,true,,,[],Blue Bowl Bakery is registered at the same hub.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T02,ACADEMY,T2-REL-007,DIRECT_SOURCE,ASSIGNED_DEVICE,T2-P-CIPHER-A,T2-DEV-ADMIN,true,,,[],The administrative laptop is assigned to Cipher Corgi.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T02,ACADEMY,T2-REL-008,DIRECT_SOURCE,AVAILABLE_AT,T2-DEV-KIOSK,T2-ADDR-HUB,true,,,[],The public filing kiosk is available at the registered-office hub.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T02,ACADEMY,T2-REL-009,DIRECT_SOURCE,ACCESSES,T2-LOGIN-A,T2-O-ALPHA,true,2026-03-01T08:00:00Z,,[],The Alpha login accesses Alpha Bone Ltd.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T02,ACADEMY,T2-REL-010,DIRECT_SOURCE,ACCESSES,T2-LOGIN-B,T2-O-BETA,true,2026-03-01T08:05:00Z,,[],The Beta login accesses Beta Bone Ltd.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T02,ACADEMY,T2-REL-011,DIRECT_SOURCE,ACCESSES,T2-LOGIN-C,T2-O-GAMMA,true,2026-03-01T08:10:00Z,,[],The Gamma login accesses Gamma Bone Ltd.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T02,ACADEMY,T2-REL-012,DIRECT_SOURCE,ACCESSES,T2-FILE-GAMMA,T2-O-GAMMA,true,2026-02-25T11:00:00Z,,[],The Gamma filing event accesses Gamma’s filing profile.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
