case_id,relationship_id,relationship_family,relationship_type,source_record_id,target_record_id,directed,event_time,valid_from,valid_to,weight,supporting_record_ids_json,summary,provenance,attributes_json,content_role,snapshot_version
DOWNLINE,REF-998E139BF40C7C8A7FAF,SOURCE_REFERENCE,REFERENCES_BENEFICIARY_PERSON_RECORD_ID,COMMISSION-0001,PR-REX-01,true,,,,,"[""COMMISSION-0001""]",COMMISSION-0001 references PR-REX-01 through beneficiary_person_record_id.,authoring/downline_commissions.csv,"{""inferred"":true,""source_column"":""beneficiary_person_record_id""}",CORE_EVIDENCE,2026.07.18.1
DOWNLINE,REF-EEDFC8431B9D26440342,SOURCE_REFERENCE,REFERENCES_RELATED_OBJECT_ID,COMMISSION-0001,SP-001,true,,,,,"[""COMMISSION-0001""]",COMMISSION-0001 references SP-001 through related_object_id.,authoring/downline_commissions.csv,"{""inferred"":true,""source_column"":""related_object_id""}",CORE_EVIDENCE,2026.07.18.1
DOWNLINE,REF-13954162006ED5F9130A,SOURCE_REFERENCE,REFERENCES_BENEFICIARY_PERSON_RECORD_ID,COMMISSION-0002,PR-CELESTE-01,true,,,,,"[""COMMISSION-0002""]",COMMISSION-0002 references PR-CELESTE-01 through beneficiary_person_record_id.,authoring/downline_commissions.csv,"{""inferred"":true,""source_column"":""beneficiary_person_record_id""}",CORE_EVIDENCE,2026.07.18.1
DOWNLINE,REF-D40E67BFDA2284C86072,SOURCE_REFERENCE,REFERENCES_RELATED_OBJECT_ID,COMMISSION-0002,SP-002,true,,,,,"[""COMMISSION-0002""]",COMMISSION-0002 references SP-002 through related_object_id.,authoring/downline_commissions.csv,"{""inferred"":true,""source_column"":""related_object_id""}",CORE_EVIDENCE,2026.07.18.1
DOWNLINE,REF-8B512F86EC70F43F11D6,SOURCE_REFERENCE,REFERENCES_BENEFICIARY_PERSON_RECORD_ID,COMMISSION-0003,PR-QUINCY-01,true,,,,,"[""COMMISSION-0003""]",COMMISSION-0003 references PR-QUINCY-01 through beneficiary_person_record_id.,authoring/downline_commissions.csv,"{""inferred"":true,""source_column"":""beneficiary_person_record_id""}",CORE_EVIDENCE,2026.07.18.1
DOWNLINE,REF-72327F4D553EE9A76317,SOURCE_REFERENCE,REFERENCES_RELATED_OBJECT_ID,COMMISSION-0003,SP-003,true,,,,,"[""COMMISSION-0003""]",COMMISSION-0003 references SP-003 through related_object_id.,authoring/downline_commissions.csv,"{""inferred"":true,""source_column"":""related_object_id""}",CORE_EVIDENCE,2026.07.18.1
DOWNLINE,REF-62F139976D402DF694D4,SOURCE_REFERENCE,REFERENCES_BENEFICIARY_PERSON_RECORD_ID,COMMISSION-0004,PR-BRUNO-01,true,,,,,"[""COMMISSION-0004""]",COMMISSION-0004 references PR-BRUNO-01 through beneficiary_person_record_id.,authoring/downline_commissions.csv,"{""inferred"":true,""source_column"":""beneficiary_person_record_id""}",CORE_EVIDENCE,2026.07.18.1
DOWNLINE,REF-4DF6B48521F740CACF49,SOURCE_REFERENCE,REFERENCES_RELATED_OBJECT_ID,COMMISSION-0004,SP-004,true,,,,,"[""COMMISSION-0004""]",COMMISSION-0004 references SP-004 through related_object_id.,authoring/downline_commissions.csv,"{""inferred"":true,""source_column"":""related_object_id""}",CORE_EVIDENCE,2026.07.18.1
DOWNLINE,REF-632392DEDCF2F7056524,SOURCE_REFERENCE,REFERENCES_BENEFICIARY_PERSON_RECORD_ID,COMMISSION-0005,PR-REX-01,true,,,,,"[""COMMISSION-0005""]",COMMISSION-0005 references PR-REX-01 through beneficiary_person_record_id.,authoring/downline_commissions.csv,"{""inferred"":true,""source_column"":""beneficiary_person_record_id""}",CORE_EVIDENCE,2026.07.18.1
DOWNLINE,REF-B7583477636F49DEBB4E,SOURCE_REFERENCE,REFERENCES_RELATED_OBJECT_ID,COMMISSION-0005,SP-005,true,,,,,"[""COMMISSION-0005""]",COMMISSION-0005 references SP-005 through related_object_id.,authoring/downline_commissions.csv,"{""inferred"":true,""source_column"":""related_object_id""}",CORE_EVIDENCE,2026.07.18.1
