case_id,match_id,rule_id,relationship_type,left_record_id,right_record_id,exact_field,masked_exact_value,normalization_version,generation_mode,framework_semantics,actual_engine_run,authoring_method_version,review_status,ambiguity_warning,supporting_record_ids_json,content_role,metadata_json,snapshot_version
MADDOG,GF-0001,GF-ACCOUNT-01,SAME_RECEIVING_ACCOUNT,DOC-030,A-BLUE-7714,normalized_receiving_account,••••7714,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Exact account association; not proof of purpose.,"[""DOC-030""]",CORE_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0002,GF-ACCOUNT-01,SAME_RECEIVING_ACCOUNT,DOC-031,A-BLUE-7714,normalized_receiving_account,••••7714,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Exact account association; not proof of purpose.,"[""DOC-031""]",CORE_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0003,GF-ACCOUNT-01,SAME_RECEIVING_ACCOUNT,DOC-032,A-BLUE-7714,normalized_receiving_account,••••7714,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Exact account association; not proof of purpose.,"[""DOC-032""]",CORE_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0004,GF-ACCOUNT-02,SAME_BENEFICIARY_ACCOUNT,TX-001-X,A-MAX-9921,beneficiary_account,••••9921,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Ownership must be established separately.,"[""TX-001-X""]",CORE_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0005,GF-ACCOUNT-02,SAME_BENEFICIARY_ACCOUNT,TX-002-X,A-MAX-9921,beneficiary_account,••••9921,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Ownership must be established separately.,"[""TX-002-X""]",CORE_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0006,GF-ACCOUNT-02,SAME_BENEFICIARY_ACCOUNT,TX-003-X,A-MAX-9921,beneficiary_account,••••9921,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Ownership must be established separately.,"[""TX-003-X""]",CORE_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0007,GF-ACCOUNT-02,SAME_BENEFICIARY_ACCOUNT,TX-004-X,A-MAX-9921,beneficiary_account,••••9921,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Ownership must be established separately.,"[""TX-004-X""]",CORE_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0008,GF-ACCOUNT-02,SAME_BENEFICIARY_ACCOUNT,TX-005-X,A-MAX-9921,beneficiary_account,••••9921,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Ownership must be established separately.,"[""TX-005-X""]",CORE_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0009,GF-ADDRESS-01,SAME_ADDRESS,OR-MIK-01,OR-BLUE-01,normalized_address,14 LANTERN ALLEY,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,"Shared premises is association, not culpability.","[""ADDR-LANTERN-14""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0010,GF-PHONE-01,SAME_SUPPORT_PHONE,OR-MIK-01,OR-BLUE-01,normalized_phone,•••-•••-0147,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Shared support line indicates infrastructure.,"[""OR-MIK-01"",""OR-BLUE-01""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0021,GF-TEMPLATE-01,SAME_TEMPLATE_HASH,ST-001,ST-002,template_hash,tmpl-mik-v3,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,"Common template proves centralized production, not knowledge.","[""ST-001"",""ST-002""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0022,GF-TEMPLATE-01,SAME_TEMPLATE_HASH,ST-003,ST-004,template_hash,tmpl-mik-v3,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,"Common template proves centralized production, not knowledge.","[""ST-003"",""ST-004""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0023,GF-TEMPLATE-01,SAME_TEMPLATE_HASH,ST-005,ST-006,template_hash,tmpl-mik-v3,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,"Common template proves centralized production, not knowledge.","[""ST-005"",""ST-006""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0024,GF-TEMPLATE-01,SAME_TEMPLATE_HASH,ST-007,ST-008,template_hash,tmpl-mik-v3,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,"Common template proves centralized production, not knowledge.","[""ST-007"",""ST-008""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0025,GF-TEMPLATE-01,SAME_TEMPLATE_HASH,ST-009,ST-010,template_hash,tmpl-mik-v3,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,"Common template proves centralized production, not knowledge.","[""ST-009"",""ST-010""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0026,GF-TEMPLATE-01,SAME_TEMPLATE_HASH,ST-011,ST-012,template_hash,tmpl-mik-v3,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,"Common template proves centralized production, not knowledge.","[""ST-011"",""ST-012""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0027,GF-TEMPLATE-01,SAME_TEMPLATE_HASH,ST-013,ST-014,template_hash,tmpl-mik-v3,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,"Common template proves centralized production, not knowledge.","[""ST-013"",""ST-014""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0033,GF-REFERRAL-01,SAME_REFERRAL_CODE,PR-HAZEL-03,PR-BERNARD-01,referral_code,HOUND-CIRCLE,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Referral centrality does not establish knowledge or benefit.,"[""REF-001""]",AMBIGUOUS_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0034,GF-REFERRAL-01,SAME_REFERRAL_CODE,PR-HAZEL-03,PR-CLARA-01,referral_code,HOUND-CIRCLE,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Referral centrality does not establish knowledge or benefit.,"[""REF-002""]",AMBIGUOUS_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0035,GF-REFERRAL-01,SAME_REFERRAL_CODE,PR-HAZEL-03,PR-GIDEON-01,referral_code,HOUND-CIRCLE,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Referral centrality does not establish knowledge or benefit.,"[""REF-003""]",AMBIGUOUS_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0036,GF-REFERRAL-01,SAME_REFERRAL_CODE,PR-HAZEL-03,PR-ELLA-01,referral_code,HOUND-CIRCLE,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,Referral centrality does not establish knowledge or benefit.,"[""REF-004""]",AMBIGUOUS_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0043,GF-MAILBOX-01,SAME_SENDER_MAILBOX,ST-001,ST-002,sender_mailbox,reports@maddog-invest.example,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,"Central sender identifies infrastructure, not author.","[""ST-001"",""ST-002""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0044,GF-MAILBOX-01,SAME_SENDER_MAILBOX,ST-003,ST-004,sender_mailbox,reports@maddog-invest.example,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,"Central sender identifies infrastructure, not author.","[""ST-003"",""ST-004""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0045,GF-MAILBOX-01,SAME_SENDER_MAILBOX,ST-005,ST-006,sender_mailbox,reports@maddog-invest.example,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,"Central sender identifies infrastructure, not author.","[""ST-005"",""ST-006""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0046,GF-MAILBOX-01,SAME_SENDER_MAILBOX,ST-007,ST-008,sender_mailbox,reports@maddog-invest.example,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,"Central sender identifies infrastructure, not author.","[""ST-007"",""ST-008""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0047,GF-MAILBOX-01,SAME_SENDER_MAILBOX,ST-009,ST-010,sender_mailbox,reports@maddog-invest.example,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,"Central sender identifies infrastructure, not author.","[""ST-009"",""ST-010""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
MADDOG,GF-0048,GF-MAILBOX-01,SAME_SENDER_MAILBOX,ST-011,ST-012,sender_mailbox,reports@maddog-invest.example,norm-v1,CURATED_APPROXIMATION,GRAPHFRAMES_EXACT_MATCH,false,PUPPY_V1_TO_CANONICAL_V1,APPROVED,"Central sender identifies infrastructure, not author.","[""ST-011"",""ST-012""]",SUPPORTING_EVIDENCE,"{""source_dataset"":""analytics/maddog_graphframes_exact_relationships.csv""}",2026.07.19.1
