case_id,profile_code,relationship_id,relationship_family,relationship_type,source_record_id,target_record_id,directed,event_time,weight,supporting_record_ids_json,player_safe_summary,provenance,safe_attributes_json,snapshot_version
ACADEMY_T03,ACADEMY,T3-REL-001,DIRECT_SOURCE,WORKS_FOR,T3-P-TARA,T3-O-CITY,true,,,[],Tara works in accounts payable for City Kennels.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T03,ACADEMY,T3-REL-002,DIRECT_SOURCE,WORKS_FOR,T3-P-MILO,T3-O-MOONLIT,true,,,[],Milo is a vendor representative for Moonlit Advisory.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T03,ACADEMY,T3-REL-003,DIRECT_SOURCE,CONTROLS,T3-P-VERA,T3-O-MOONLIT,true,,,"[""T3-DOC-CORP""]",Vera Vizsla controls Moonlit Advisory.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T03,ACADEMY,T3-REL-004,DIRECT_SOURCE,OWNS,T3-O-MOONLIT,T3-A-MOONLIT,true,,,"[""T3-DOC-KYC""]",Moonlit Advisory owns account ••••4040.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T03,ACADEMY,T3-REL-005,DIRECT_SOURCE,ASSIGNED_DEVICE,T3-P-VERA,T3-DEV-VERA,true,,,[],The vendor laptop is assigned to Vera Vizsla.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T03,ACADEMY,T3-REL-006,DIRECT_SOURCE,ISSUED,T3-O-MOONLIT,T3-INV-401,true,2026-04-01T03:30:00Z,,[],Moonlit issued the legitimate comparison invoice GI-401.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T03,ACADEMY,T3-REL-007,DIRECT_SOURCE,SUPPORTS,T3-RECV-401,T3-INV-401,true,2026-04-01T03:35:00Z,,[],The receipt event supports the valid issue-to-receipt sequence.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T03,ACADEMY,T3-REL-008,DIRECT_SOURCE,PAID,T3-O-CITY,T3-TX-401,true,2026-04-01T14:00:00Z,,[],City Kennels paid the legitimate comparison invoice.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T03,ACADEMY,T3-REL-009,DIRECT_SOURCE,SETTLES,T3-TX-401,T3-INV-401,true,2026-04-01T14:00:00Z,,[],GI-401 payment settles the comparison invoice.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T03,ACADEMY,T3-REL-010,DIRECT_SOURCE,ISSUED,T3-O-MOONLIT,T3-INV-404,true,2026-04-04T09:00:00Z,,[],Moonlit is the supplier named on GI-404.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T03,ACADEMY,T3-REL-011,DIRECT_SOURCE,PAID,T3-O-CITY,T3-TX-404,true,2026-04-04T10:00:00Z,,[],"City Kennels sent the 4,800 BSC payment.",Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T03,ACADEMY,T3-REL-012,DIRECT_SOURCE,DESTINATION_OF,T3-TX-404,T3-A-MOONLIT,true,2026-04-04T10:00:00Z,,[],"The 4,800 BSC payment reached Moonlit account ••••4040.",Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T03,ACADEMY,T3-REL-013,DIRECT_SOURCE,SETTLES,T3-TX-404,T3-INV-404,true,2026-04-04T10:00:00Z,,[],The payment is recorded as settlement of GI-404.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
ACADEMY_T03,ACADEMY,T3-REL-014,DIRECT_SOURCE,REPRESENTS,T3-FILE-404,T3-INV-404,true,2026-04-06T18:00:00Z,,[],The repository file represents invoice GI-404.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.1
