case_id,relationship_id,relationship_family,relationship_type,source_record_id,target_record_id,directed,event_time,valid_from,valid_to,weight,supporting_record_ids_json,summary,provenance,attributes_json,content_role,snapshot_version
LOVE_LEASHES_OFFSHORE,REF-48A56CCB332029694382,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-MOONLIT-6100,O-MOONLIT,true,,,,,"[""A-MOONLIT-6100""]",A-MOONLIT-6100 references O-MOONLIT through holder_id.,authoring/love_bank_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.18.1
LOVE_LEASHES_OFFSHORE,REF-3434CC65960C6E6B7AE4,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-CORAL-8801,O-CORAL,true,,,,,"[""A-CORAL-8801""]",A-CORAL-8801 references O-CORAL through holder_id.,authoring/love_bank_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.18.1
LOVE_LEASHES_OFFSHORE,REF-C0F7FF867253ED71F933,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-TIDAL-7710,O-TIDAL,true,,,,,"[""A-TIDAL-7710""]",A-TIDAL-7710 references O-TIDAL through holder_id.,authoring/love_bank_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.18.1
LOVE_LEASHES_OFFSHORE,REF-D5153C14169930E3EF1F,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-HARBOR-4401,O-HARBORHEART,true,,,,,"[""A-HARBOR-4401""]",A-HARBOR-4401 references O-HARBORHEART through holder_id.,authoring/love_bank_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.18.1
LOVE_LEASHES_OFFSHORE,REF-417400282338313EF8DE,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-STARPAW-3302,O-STARPAW,true,,,,,"[""A-STARPAW-3302""]",A-STARPAW-3302 references O-STARPAW through holder_id.,authoring/love_bank_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.18.1
LOVE_LEASHES_OFFSHORE,REF-9E52541F930271E676D8,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-SERENA-9927,P-SERENA,true,,,,,"[""A-SERENA-9927""]",A-SERENA-9927 references P-SERENA through holder_id.,authoring/love_bank_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.18.1
LOVE_LEASHES_OFFSHORE,REF-497AFF8545A4005A387A,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-ADRIAN-5513,P-ADRIAN,true,,,,,"[""A-ADRIAN-5513""]",A-ADRIAN-5513 references P-ADRIAN through holder_id.,authoring/love_bank_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.18.1
LOVE_LEASHES_OFFSHORE,REF-B2EEAF73A7F7ECD83C49,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-KENDRA-4438,P-KENDRA,true,,,,,"[""A-KENDRA-4438""]",A-KENDRA-4438 references P-KENDRA through holder_id.,authoring/love_bank_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.18.1
LOVE_LEASHES_OFFSHORE,REF-FEA71885E5E9AF3EF613,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-MILO-6625,P-MILO,true,,,,,"[""A-MILO-6625""]",A-MILO-6625 references P-MILO through holder_id.,authoring/love_bank_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.18.1
LOVE_LEASHES_OFFSHORE,REF-781D01030F8FB747FD64,SOURCE_REFERENCE,REFERENCES_HOLDER_ID,A-QUINN-7744,P-QUINN,true,,,,,"[""A-QUINN-7744""]",A-QUINN-7744 references P-QUINN through holder_id.,authoring/love_bank_accounts.csv,"{""inferred"":true,""source_column"":""holder_id""}",CORE_EVIDENCE,2026.07.18.1
