case_id,profile_code,relationship_id,relationship_family,relationship_type,source_record_id,target_record_id,directed,event_time,weight,supporting_record_ids_json,player_safe_summary,provenance,safe_attributes_json,snapshot_version
ACADEMY_T01,ACADEMY,T1-REL-001,DIRECT_SOURCE,EMPLOYED_BY,T1-P-BUSTER,T1-O-SHOP,true,,,[],Buster works at Biscuit Corner.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.3
ACADEMY_T01,ACADEMY,T1-REL-002,DIRECT_SOURCE,EMPLOYED_BY,T1-P-POPPY,T1-O-SHOP,true,,,[],Poppy works the morning shift at Biscuit Corner.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.3
ACADEMY_T01,ACADEMY,T1-REL-003,DIRECT_SOURCE,MANAGES,T1-P-NELL,T1-O-SHOP,true,,,[],Nell manages Biscuit Corner.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.3
ACADEMY_T01,ACADEMY,T1-REL-004,DIRECT_SOURCE,ASSIGNED_TO,T1-P-BUSTER,T1-A-TILL,true,,,[],Buster was assigned to Register 2 for the evening shift.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.3
ACADEMY_T01,ACADEMY,T1-REL-005,DIRECT_SOURCE,PERFORMED,T1-P-BUSTER,T1-EVT-LOGIN,true,2026-02-02T18:00:00Z,,[],Buster performed the evening register login.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.3
ACADEMY_T01,ACADEMY,T1-REL-006,DIRECT_SOURCE,ON_REGISTER,T1-EVT-LOGIN,T1-A-TILL,true,2026-02-02T18:00:00Z,,[],The login occurred on Register 2.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.3
ACADEMY_T01,ACADEMY,T1-REL-007,DIRECT_SOURCE,PERFORMED,T1-P-BUSTER,T1-EVT-OPEN,true,2026-02-02T21:14:00Z,,[],The POS audit attributes the manual opening to Buster’s active session.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.3
ACADEMY_T01,ACADEMY,T1-REL-008,DIRECT_SOURCE,ON_REGISTER,T1-EVT-OPEN,T1-A-TILL,true,2026-02-02T21:14:00Z,,[],The manual opening occurred on Register 2.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.3
ACADEMY_T01,ACADEMY,T1-REL-009,DIRECT_SOURCE,PRECEDES,T1-EVT-OPEN,T1-REC-SHORT,true,2026-02-02T21:14:00Z,,[],The manual opening preceded the closing shortage.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.3
ACADEMY_T01,ACADEMY,T1-REL-010,DIRECT_SOURCE,AFFECTS,T1-REC-SHORT,T1-O-SHOP,true,2026-02-02T22:05:00Z,,[],The 120 BSC shortage affected Biscuit Corner.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.3
ACADEMY_T01,ACADEMY,T1-REL-011,DIRECT_SOURCE,SENT,T1-P-BUSTER,T1-MSG-ADMIT,true,2026-02-03T08:00:00Z,,[],Buster sent the admission message.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.3
ACADEMY_T01,ACADEMY,T1-REL-012,DIRECT_SOURCE,ADMITS,T1-MSG-ADMIT,T1-REC-SHORT,true,2026-02-03T08:00:00Z,,[],The message admits taking the same 120 BSC recorded as missing.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.3
ACADEMY_T01,ACADEMY,T1-REL-013,DIRECT_SOURCE,FILED,T1-P-NELL,T1-DOC-REPORT,true,2026-02-02T22:12:00Z,,[],Nell filed the incident report.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.3
ACADEMY_T01,ACADEMY,T1-REL-014,DIRECT_SOURCE,SUPPORTS,T1-DOC-REPORT,T1-REC-SHORT,true,2026-02-02T22:12:00Z,,[],The manager report documents the reconciled shortage.,Recorded directly in a deterministic synthetic Academy source.,{},2026.07.19.3
