case_id,profile_code,relationship_id,relationship_family,relationship_type,source_record_id,target_record_id,directed,event_time,weight,supporting_record_ids_json,player_safe_summary,provenance,safe_attributes_json,snapshot_version
PHANTOM_VET,ADULT,REL-000001,DIRECT_SOURCE,CONTROLS,PR-ROWAN-04,OR-PHANTOM-01,true,,,"[""PR-ROWAN-04""]",Rowan controls Phantom Veterinary Clinic.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
PHANTOM_VET,ADULT,REL-000002,DIRECT_SOURCE,CONTROLS,PR-ROWAN-04,OR-MOBILE-01,true,,,"[""PR-ROWAN-04""]",Rowan controls the mobile-clinic shell.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
PHANTOM_VET,ADULT,REL-000003,DIRECT_SOURCE,CONTROLS,PR-MIRA-01,OR-NIGHTLAB-01,true,,,"[""PR-MIRA-01""]",Mira is associated with the shell laboratory.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
PHANTOM_VET,ADULT,REL-000004,DIRECT_SOURCE,CONTROLS,PR-ROWAN-04,OR-BLUEPHARM-01,true,,,"[""PR-ROWAN-04""]",Rowan controls the shell pharmacy.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
PHANTOM_VET,ADULT,REL-000005,DIRECT_SOURCE,EMPLOYED_BY,PR-DEXTER-01,OR-PHANTOM-01,true,,,"[""PR-DEXTER-01""]",Dexter is the registered clinical signatory for Phantom.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
PHANTOM_VET,ADULT,REL-000006,DIRECT_SOURCE,EMPLOYED_BY,PR-ELENA-01,OR-LANTERN-VET-01,true,,,"[""PR-ELENA-01""]",Elena works at Lantern Veterinary Hospital.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
PHANTOM_VET,ADULT,REL-000007,DIRECT_SOURCE,EMPLOYED_BY,PR-TESSA-01,OR-LANTERN-VET-01,true,,,"[""PR-TESSA-01""]",Tessa works at the legitimate clinic.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
PHANTOM_VET,ADULT,REL-000008,DIRECT_SOURCE,EMPLOYED_BY,PR-HENRY-01,OR-INSURER-01,true,,,"[""PR-HENRY-01""]",Henry works for the insurer SIU.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
PHANTOM_VET,ADULT,REL-000009,DIRECT_SOURCE,EMPLOYED_BY,PR-HUGO-01,OR-LEGITLAB-01,true,,,"[""PR-HUGO-01""]",Hugo works for the legitimate lab.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
PHANTOM_VET,ADULT,REL-000010,DIRECT_SOURCE,EMPLOYED_BY,PR-NORA-01,OR-BOARD-01,true,,,"[""PR-NORA-01""]",Nora works for the veterinary board.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
PHANTOM_VET,ADULT,REL-000011,DIRECT_SOURCE,OWNS,OR-INSURER-01,A-INSURER-1000,true,,,"[""A-INSURER-1000""]",Recorded holder of account ••••1000.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
PHANTOM_VET,ADULT,REL-000012,DIRECT_SOURCE,OWNS,OR-PHANTOM-04,A-PHANTOM-6622,true,,,"[""A-PHANTOM-6622""]",Recorded holder of account ••••6622.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
PHANTOM_VET,ADULT,REL-000013,DIRECT_SOURCE,OWNS,OR-MOBILE-03,A-MOBILE-6623,true,,,"[""A-MOBILE-6623""]",Recorded holder of account ••••6623.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
PHANTOM_VET,ADULT,REL-000014,DIRECT_SOURCE,OWNS,OR-NIGHTLAB-03,A-NIGHTLAB-7755,true,,,"[""A-NIGHTLAB-7755""]",Recorded holder of account ••••7755.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
PHANTOM_VET,ADULT,REL-000015,DIRECT_SOURCE,OWNS,OR-BLUEPHARM-03,A-BLUEPHARM-8841,true,,,"[""A-BLUEPHARM-8841""]",Recorded holder of account ••••8841.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
PHANTOM_VET,ADULT,REL-000016,DIRECT_SOURCE,OWNS,PR-ROWAN-02,A-ROWAN-9920,true,,,"[""A-ROWAN-9920""]",Recorded holder of account ••••9920.,Recorded directly in a source dataset.,{},2026.07.18.1-L2
